,,,,,,,,,,,,,sim,não,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,áudio,midi,partitura,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,Características,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,Médio Nível ,,,,,,,,,,,,,,,Baixo Nível,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Título,Autores,Ano de publicação,Fonte,Quantidade de músicas utilizadas,Base de Dados Pública?,O artigo define um método de extração das características?,"Se sim, qual?",Modelo de classificação da emoção / humor,Qual a definição de tristeza conforme o modelo?,Algoritmo de classificação da emoção/humor,Intervalo,Tonalidade,Acorde,Melodia,Harmonia,Harmony_tonal,Harmony_psysound,Pitch,Pitch Histogram,Pitch_CP,Pitch_CLP,Pitch_CENS,Pitch_CPR,Escala,Variação de acordes,Ritmo,Rhythm strength,Rhythm_CTDFT,Rhythm_CTACF,Rhythm_mirtb,Timbre,Bandwidth,Timbre_mirtb,Timbre_psysound,Tempo,Percussão,Loudness,Loudness-Mean,Loudness-Std,Low-energy,Loudness-flux,Loudness-centroid,Loudness-flatness,Loudness_mirtb,Loudness_psysound,Irregularity (Timbre),Regularity (Timbre),Regularity of Rhythm -Regularidade do Ritmo,Articulção,Strength-Força (Ritmo),Density (Ritmo),Roughness (Timbre),Spectral roughness,Spectral irregularity,espalhamento (SS),Textura,Estrutura,Registro,Dinâmica,Instrumentação,Espectral,Espectro de Atenuação,Zero Crossing Rate (ZCR) (timbre), Spectral Centroid l (SC) (timbre), Spectral Flux (timbre),Spectral Contrast,Spectral Kurtosis,Ponto de Rolamento Espectral ,Variabilidade Espectral,Espectro de Magnitude,Espectro de força,Pares Espectrais de Linha (LSP),Medida de Planicidade Espectral (SFM),Fator de Crista Espectral (SCF) ,"octave-based spectral
contrast (OSC)",spectral crest measure (SCM),spectral-Brightness (Timbre),Dissonância Tonal,Dissonâcia Espectral,Função de Diferença Relativa,coeficientes ceftrais de alta frequência (MFCC) (Timbre),Fração de janelas de baixa energia,Beats (ritmo),Batida Mais Forte,Soma das Batidas,Histograma de batidas,Frequência mais forte via Cruzamento Zero,Coeficientes de Codificação Preditiva Linear (LPC),Suavidade Espectral ,Coeficientes de Frequência de Modulação em Escala de Log (LMFC),Os Coeficientes de Transformação de Cosseno Discreto Modificado (MDCT),Low-SONE (Intensidade),Root Mean Square -RMS (Intensidade/dinâmica),Key Clarity (harmonia),Tom Saliente/Proeminente (Registro),Pulse Clarity (Ritmo),Tempo de Ataque (Articulação),Novidade (Estrutura),Flatness (Tiimbre),Rolloff (timbre),Fluxo Harmônico,Nitidez (Sharpness),Largura Timbral,Volume,Chromagrama (CHR),Sub-banda de Frequência,AMSC/AMSV,AMSFM/AMSCM,Tonal Center Positions and clarity (Tonalidade),Harmonic Change Detection Function (HCDF) (Tonalidade),MTBF,Entropy of Spectrum,Tonal Harmonic Change Detection,Harmonic Change Detection Function,Audio Poweer (Energy),Temporal Centroid (Tempo),Atack time (Tempo,Wavelets Coeficient Histogram,Inharmonicity,harmonic change,Hromagram
Creating reliable database for experiments on extracting emotions from music,"Wieczorkowska, Alicja and Synak, Piotr and Lewis, Rory and Ras, Zbigniew",2005,áudio,303,não,sim,frequência em Hz,Tridimensional,"Excitação, poder e prazer negativo",K-NN,,,,,1,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A TEMPO FEATURE VIA MODULATION SPECTRUM ANALYSIS AND ITS APPLICATION TO MUSIC EMOTION CLASSIFICATION Samsung Advanced Institute ,"{Yuan-Yuan Shi, Xuan Zhu, Hyoung-Gook Kim Ki-Wan Eom",2006,áudio,194,não,sim,,Bidimensional,Valência Negativa Baixa Excitação,,,,,,,,,,,,,,,,,,,,,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
An integrated music recommendation system,"Zhu, Xuan and Shi, Yuan Yuan and Kim, Hyoung Gook and Eom, Ki Wan",2006,áudio,800,não,não,-,Categorias de Emoção,,AdaBoost,,,,,,,,,,,,,,,,,,,,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Department of Electrical Engineering , National Taiwan University Multimedia Applications Lab , Telecommunication Laboratories , ","Cheng, Heng-tze and Yang, Yi-hsuan and Lin, Yu-ching and Liao, I-bin and Chen, Homer H",2008,áudio/MIDI,195,não,não,-,Bidimensional,Valência Negativa ,k-nearestneighbor,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Emotion-based music retrieval on a well-reduced audio feature space,"Ruxanda, M.M. and Chua, Bee Yong Chua Bee Yong and Nanopoulos, a. and Jensen, C.S.",2009,áudio,1000,não,não,-,Dimensional,"Valência Negativa, Baixa Excitação",K-NN,,1,,,,,,,,,,,,,,1,,,,,,,,,1,,1,,,,,,,,,,,,1,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
