EXTRACT: program_change channel=0 program=33 time=0
EXTRACT: control_change channel=0 control=10 value=64 time=0
EXTRACT: program_change channel=1 program=25 time=0
EXTRACT: control_change channel=1 control=10 value=104 time=0
EXTRACT: program_change channel=2 program=17 time=0
EXTRACT: control_change channel=2 control=10 value=14 time=0
EXTRACT: program_change channel=3 program=18 time=0
EXTRACT: control_change channel=3 control=10 value=64 time=0
EXTRACT: program_change channel=5 program=30 time=0
EXTRACT: control_change channel=5 control=10 value=64 time=0
EXTRACT: program_change channel=6 program=26 time=0
EXTRACT: control_change channel=6 control=10 value=64 time=0
EXTRACT: program_change channel=7 program=18 time=0
EXTRACT: control_change channel=7 control=10 value=64 time=0
EXTRACT: program_change channel=8 program=119 time=0
EXTRACT: control_change channel=8 control=10 value=64 time=0
EXTRACT: program_change channel=9 program=0 time=0
EXTRACT: control_change channel=9 control=10 value=64 time=0
EXTRACT: control_change channel=9 control=0 value=0 time=0.020588224999999998
EXTRACT: control_change channel=9 control=32 value=0 time=0
EXTRACT: control_change channel=0 control=0 value=0 time=0.0235294
EXTRACT: control_change channel=0 control=7 value=127 time=0
EXTRACT: control_change channel=0 control=121 value=0 time=0
EXTRACT: control_change channel=0 control=11 value=100 time=0
EXTRACT: control_change channel=0 control=91 value=20 time=0
EXTRACT: control_change channel=0 control=93 value=0 time=0
EXTRACT: control_change channel=1 control=0 value=0 time=0
EXTRACT: control_change channel=1 control=7 value=127 time=0
EXTRACT: control_change channel=1 control=121 value=0 time=0
EXTRACT: control_change channel=1 control=11 value=96 time=0
EXTRACT: control_change channel=1 control=91 value=20 time=0
EXTRACT: control_change channel=1 control=93 value=20 time=0
EXTRACT: control_change channel=1 control=99 value=1 time=0
EXTRACT: control_change channel=1 control=98 value=100 time=0
EXTRACT: control_change channel=2 control=0 value=0 time=0
EXTRACT: control_change channel=2 control=7 value=127 time=0
EXTRACT: control_change channel=2 control=121 value=0 time=0
EXTRACT: control_change channel=2 control=11 value=88 time=0
EXTRACT: control_change channel=2 control=91 value=50 time=0
EXTRACT: control_change channel=2 control=93 value=127 time=0
EXTRACT: control_change channel=3 control=0 value=0 time=0
EXTRACT: control_change channel=3 control=7 value=127 time=0
EXTRACT: control_change channel=3 control=121 value=0 time=0
EXTRACT: control_change channel=3 control=11 value=127 time=0
EXTRACT: control_change channel=3 control=91 value=50 time=0
EXTRACT: control_change channel=3 control=93 value=127 time=0
EXTRACT: control_change channel=5 control=0 value=0 time=0
EXTRACT: control_change channel=5 control=7 value=127 time=0
EXTRACT: control_change channel=5 control=121 value=0 time=0
EXTRACT: control_change channel=5 control=11 value=112 time=0
EXTRACT: control_change channel=5 control=91 value=50 time=0
EXTRACT: control_change channel=5 control=93 value=50 time=0
EXTRACT: control_change channel=6 control=0 value=0 time=0
EXTRACT: control_change channel=6 control=7 value=127 time=0
EXTRACT: control_change channel=6 control=121 value=0 time=0
EXTRACT: control_change channel=6 control=11 value=100 time=0
EXTRACT: control_change channel=6 control=91 value=50 time=0
EXTRACT: control_change channel=6 control=93 value=127 time=0
EXTRACT: control_change channel=7 control=0 value=0 time=0
EXTRACT: control_change channel=7 control=7 value=127 time=0
EXTRACT: control_change channel=7 control=121 value=0 time=0
EXTRACT: control_change channel=7 control=11 value=127 time=0
EXTRACT: control_change channel=7 control=91 value=50 time=0
EXTRACT: control_change channel=7 control=93 value=127 time=0
EXTRACT: control_change channel=8 control=0 value=0 time=0
EXTRACT: control_change channel=8 control=7 value=127 time=0
EXTRACT: control_change channel=8 control=121 value=0 time=0
EXTRACT: control_change channel=8 control=11 value=100 time=0
EXTRACT: control_change channel=8 control=91 value=50 time=0
