EXTRACT: program_change channel=9 program=0 time=0
EXTRACT: program_change channel=9 program=0 time=0
EXTRACT: program_change channel=10 program=5 time=0
EXTRACT: program_change channel=11 program=29 time=0
EXTRACT: note_on channel=11 note=60 velocity=127 time=0
EXTRACT: note_on channel=11 note=63 velocity=127 time=0
EXTRACT: note_on channel=11 note=67 velocity=127 time=0
EXTRACT: program_change channel=12 program=2 time=0
EXTRACT: program_change channel=13 program=25 time=0
EXTRACT: program_change channel=14 program=26 time=0
EXTRACT: program_change channel=0 program=127 time=0
EXTRACT: program_change channel=10 program=5 time=0
EXTRACT: program_change channel=10 program=5 time=0
EXTRACT: note_on channel=11 note=60 velocity=0 time=0.43382331249999995
EXTRACT: note_on channel=11 note=63 velocity=0 time=0
EXTRACT: note_on channel=11 note=67 velocity=0 time=0
EXTRACT: note_on channel=11 note=60 velocity=127 time=0.007352937499999999
EXTRACT: note_on channel=11 note=63 velocity=127 time=0
EXTRACT: note_on channel=11 note=67 velocity=127 time=0
EXTRACT: note_on channel=11 note=60 velocity=0 time=0.43382331249999995
EXTRACT: note_on channel=11 note=63 velocity=0 time=0
EXTRACT: note_on channel=11 note=67 velocity=0 time=0
EXTRACT: note_on channel=11 note=60 velocity=127 time=0.007352937499999999
EXTRACT: note_on channel=11 note=63 velocity=127 time=0
EXTRACT: note_on channel=11 note=68 velocity=127 time=0
EXTRACT: note_on channel=11 note=60 velocity=0 time=1.32352875
EXTRACT: note_on channel=11 note=63 velocity=0 time=0
EXTRACT: note_on channel=11 note=68 velocity=0 time=0
EXTRACT: control_change channel=9 control=7 value=127 time=0
EXTRACT: note_on channel=9 note=46 velocity=127 time=0
EXTRACT: note_on channel=9 note=54 velocity=127 time=0
EXTRACT: note_on channel=9 note=56 velocity=127 time=0
EXTRACT: control_change channel=9 control=7 value=127 time=0
EXTRACT: note_on channel=9 note=36 velocity=127 time=0
EXTRACT: control_change channel=10 control=7 value=127 time=0
EXTRACT: control_change channel=11 control=7 value=127 time=0
EXTRACT: control_change channel=12 control=7 value=127 time=0
EXTRACT: control_change channel=13 control=7 value=127 time=0
EXTRACT: control_change channel=14 control=7 value=127 time=0
EXTRACT: control_change channel=0 control=7 value=127 time=0
EXTRACT: note_on channel=9 note=46 velocity=0 time=0.13571414999999998
EXTRACT: note_on channel=9 note=54 velocity=0 time=0
EXTRACT: note_on channel=9 note=56 velocity=0 time=0
EXTRACT: note_on channel=9 note=36 velocity=0 time=0
