EXTRACT: program_change channel=0 program=81 time=0
EXTRACT: control_change channel=0 control=7 value=124 time=0
EXTRACT: control_change channel=0 control=10 value=63 time=0
EXTRACT: control_change channel=0 control=72 value=1 time=0
EXTRACT: control_change channel=0 control=73 value=0 time=0
EXTRACT: control_change channel=0 control=91 value=31 time=0
EXTRACT: program_change channel=1 program=4 time=0
EXTRACT: control_change channel=1 control=7 value=32 time=0
EXTRACT: control_change channel=1 control=10 value=63 time=0
EXTRACT: control_change channel=1 control=72 value=30 time=0
EXTRACT: control_change channel=1 control=73 value=0 time=0
EXTRACT: control_change channel=1 control=91 value=31 time=0
EXTRACT: program_change channel=2 program=91 time=0
EXTRACT: control_change channel=2 control=7 value=127 time=0
EXTRACT: control_change channel=2 control=10 value=63 time=0
EXTRACT: control_change channel=2 control=72 value=1 time=0
EXTRACT: control_change channel=2 control=73 value=0 time=0
EXTRACT: control_change channel=2 control=91 value=31 time=0
EXTRACT: program_change channel=3 program=80 time=0
EXTRACT: control_change channel=3 control=7 value=101 time=0
EXTRACT: control_change channel=3 control=10 value=63 time=0
EXTRACT: control_change channel=3 control=72 value=5 time=0
EXTRACT: control_change channel=3 control=73 value=0 time=0
EXTRACT: control_change channel=3 control=91 value=31 time=0
EXTRACT: program_change channel=9 program=116 time=0
EXTRACT: control_change channel=9 control=7 value=101 time=0
EXTRACT: control_change channel=9 control=10 value=63 time=0
EXTRACT: control_change channel=9 control=72 value=100 time=0
EXTRACT: control_change channel=9 control=73 value=0 time=0
EXTRACT: control_change channel=9 control=91 value=31 time=0
EXTRACT: note_on channel=9 note=42 velocity=100 time=0
EXTRACT: note_off channel=9 note=42 velocity=64 time=0.010416666666666666
EXTRACT: note_on channel=9 note=42 velocity=100 time=0.28125
EXTRACT: note_off channel=9 note=42 velocity=64 time=0.15625
EXTRACT: note_on channel=9 note=42 velocity=100 time=0.3958333333333333
EXTRACT: note_off channel=9 note=42 velocity=64 time=0.15625
EXTRACT: note_on channel=9 note=39 velocity=100 time=2.4375
EXTRACT: note_off channel=9 note=39 velocity=64 time=0.125
EXTRACT: note_on channel=9 note=39 velocity=100 time=0.7708333333333333
EXTRACT: note_off channel=9 note=39 velocity=64 time=0.14583333333333331
EXTRACT: note_on channel=9 note=39 velocity=100 time=0.75
EXTRACT: note_off channel=9 note=39 velocity=64 time=0.13541666666666666
EXTRACT: note_on channel=9 note=39 velocity=100 time=0.7916666666666666
EXTRACT: note_off channel=9 note=39 velocity=64 time=0.17708333333333331
EXTRACT: note_on channel=9 note=39 velocity=100 time=0.9375
EXTRACT: note_off channel=9 note=39 velocity=64 time=0.17708333333333331
EXTRACT: note_on channel=0 note=75 velocity=100 time=2.364583333333333
EXTRACT: note_off channel=0 note=75 velocity=64 time=0.22916666666666666
EXTRACT: note_on channel=0 note=75 velocity=100 time=0.15625
EXTRACT: note_off channel=0 note=75 velocity=64 time=0.29166666666666663
EXTRACT: note_on channel=0 note=75 velocity=100 time=0.16666666666666666
EXTRACT: note_on channel=9 note=39 velocity=100 time=0.010416666666666666
EXTRACT: note_off channel=9 note=39 velocity=64 time=0.15625
EXTRACT: note_off channel=0 note=75 velocity=64 time=0.11458333333333333
EXTRACT: note_on channel=0 note=75 velocity=100 time=0.1875
EXTRACT: note_off channel=0 note=75 velocity=64 time=0.07291666666666666
EXTRACT: note_on channel=0 note=75 velocity=100 time=0.16666666666666666
EXTRACT: note_off channel=0 note=75 velocity=64 time=0.0625
EXTRACT: note_on channel=0 note=75 velocity=100 time=0.15625
EXTRACT: note_on channel=9 note=39 velocity=100 time=0.03125
EXTRACT: note_off channel=9 note=39 velocity=64 time=0.13541666666666666
EXTRACT: note_off channel=0 note=75 velocity=64 time=0.125
EXTRACT: note_on channel=0 note=75 velocity=100 time=0.16666666666666666
EXTRACT: note_off channel=0 note=75 velocity=64 time=0.05208333333333333
EXTRACT: note_on channel=0 note=75 velocity=100 time=0.16666666666666666
EXTRACT: note_off channel=0 note=75 velocity=64 time=0.08333333333333333
EXTRACT: note_on channel=9 note=39 velocity=100 time=0.14583333333333331
EXTRACT: note_on channel=0 note=75 velocity=100 time=0.020833333333333332
EXTRACT: note_off channel=9 note=39 velocity=64 time=0.16666666666666666
EXTRACT: note_off channel=0 note=75 velocity=64 time=0.11458333333333333
EXTRACT: note_on channel=0 note=75 velocity=100 time=0.125
EXTRACT: note_off channel=0 note=75 velocity=64 time=0.21875
EXTRACT: note_on channel=0 note=72 velocity=100 time=0.041666666666666664
EXTRACT: note_on channel=9 note=39 velocity=100 time=0.34375
EXTRACT: note_off channel=9 note=39 velocity=64 time=0.13541666666666666
EXTRACT: note_off channel=0 note=72 velocity=64 time=0.21875
EXTRACT: note_on channel=9 note=39 velocity=100 time=0.6354166666666666
EXTRACT: note_off channel=9 note=39 velocity=64 time=0.17708333333333331
EXTRACT: note_on channel=9 note=39 velocity=100 time=0.84375
EXTRACT: note_off channel=9 note=39 velocity=64 time=0.16666666666666666
EXTRACT: note_on channel=9 note=39 velocity=100 time=0.71875
EXTRACT: note_off channel=9 note=39 velocity=64 time=0.22916666666666666
EXTRACT: note_on channel=0 note=75 velocity=100 time=0.41666666666666663
EXTRACT: note_off channel=0 note=75 velocity=64 time=0.1875
EXTRACT: note_on channel=9 note=39 velocity=100 time=0.125
EXTRACT: note_on channel=0 note=75 velocity=100 time=0.10416666666666666
EXTRACT: note_off channel=9 note=39 velocity=64 time=0.14583333333333331
EXTRACT: note_off channel=0 note=75 velocity=64 time=0.041666666666666664
EXTRACT: note_on channel=0 note=75 velocity=100 time=0.20833333333333331
EXTRACT: note_off channel=0 note=75 velocity=64 time=0.2708333333333333
EXTRACT: note_on channel=9 note=39 velocity=100 time=0.16666666666666666
EXTRACT: note_on channel=0 note=75 velocity=100 time=0.07291666666666666
EXTRACT: note_off channel=0 note=75 velocity=64 time=0.08333333333333333
EXTRACT: note_off channel=9 note=39 velocity=64 time=0
EXTRACT: note_on channel=0 note=75 velocity=100 time=0.15625
EXTRACT: note_off channel=0 note=75 velocity=64 time=0.08333333333333333
EXTRACT: note_on channel=0 note=75 velocity=100 time=0.11458333333333333
EXTRACT: note_off channel=0 note=75 velocity=64 time=0.3125
EXTRACT: note_on channel=9 note=39 velocity=100 time=0.10416666666666666
EXTRACT: note_on channel=0 note=75 velocity=100 time=0.09375
EXTRACT: note_off channel=0 note=75 velocity=64 time=0.07291666666666666
EXTRACT: note_off channel=9 note=39 velocity=64 time=0.041666666666666664
EXTRACT: note_on channel=0 note=75 velocity=100 time=0.11458333333333333
EXTRACT: note_off channel=0 note=75 velocity=64 time=0.07291666666666666
EXTRACT: note_on channel=0 note=75 velocity=100 time=0.11458333333333333
EXTRACT: note_off channel=0 note=75 velocity=64 time=0.28125
EXTRACT: note_on channel=0 note=75 velocity=100 time=0.13541666666666666
EXTRACT: note_on channel=9 note=39 velocity=100 time=0.020833333333333332
EXTRACT: note_off channel=9 note=39 velocity=64 time=0.14583333333333331
EXTRACT: note_off channel=0 note=75 velocity=64 time=0.05208333333333333
EXTRACT: note_on channel=0 note=72 velocity=100 time=0.05208333333333333
EXTRACT: note_off channel=0 note=72 velocity=64 time=0.6354166666666666
EXTRACT: note_on channel=9 note=39 velocity=100 time=0.09375
EXTRACT: note_off channel=9 note=39 velocity=64 time=0.13541666666666666
EXTRACT: note_on channel=9 note=39 velocity=100 time=0.8541666666666666
EXTRACT: note_off channel=9 note=39 velocity=64 time=0.125
EXTRACT: note_on channel=9 note=39 velocity=100 time=0.8229166666666666
EXTRACT: note_on channel=0 note=75 velocity=100 time=0.010416666666666666
EXTRACT: note_off channel=0 note=75 velocity=64 time=0.09375
EXTRACT: note_off channel=9 note=39 velocity=64 time=0.05208333333333333
EXTRACT: note_on channel=0 note=75 velocity=100 time=0.09375
EXTRACT: note_off channel=0 note=75 velocity=64 time=0.08333333333333333
EXTRACT: note_on channel=0 note=75 velocity=100 time=0.13541666666666666
EXTRACT: note_off channel=0 note=75 velocity=64 time=0.10416666666666666
EXTRACT: note_on channel=0 note=75 velocity=100 time=0.09375
EXTRACT: note_off channel=0 note=75 velocity=64 time=0.0625
EXTRACT: note_on channel=0 note=75 velocity=100 time=0.125
EXTRACT: note_on channel=9 note=39 velocity=100 time=0.07291666666666666
EXTRACT: note_off channel=0 note=75 velocity=64 time=0.010416666666666666
EXTRACT: note_off channel=9 note=39 velocity=64 time=0.14583333333333331
EXTRACT: note_on channel=0 note=75 velocity=100 time=0.03125
EXTRACT: note_off channel=0 note=75 velocity=64 time=0.3645833333333333
EXTRACT: note_on channel=0 note=72 velocity=100 time=0.09375
EXTRACT: note_off channel=0 note=72 velocity=64 time=0.2708333333333333
EXTRACT: note_on channel=9 note=39 velocity=100 time=0.09375
EXTRACT: note_off channel=9 note=39 velocity=64 time=0.13541666666666666
EXTRACT: note_on channel=0 note=75 velocity=100 time=0.03125
EXTRACT: note_off channel=0 note=75 velocity=64 time=0.09375
EXTRACT: note_on channel=0 note=75 velocity=100 time=0.14583333333333331
EXTRACT: note_off channel=0 note=75 velocity=64 time=0.08333333333333333
