EXTRACT: sysex data=(65,16,66,18,64,0,127,0,65) time=0
EXTRACT: program_change channel=0 program=35 time=0
EXTRACT: control_change channel=0 control=121 value=0 time=0
EXTRACT: program_change channel=1 program=25 time=0
EXTRACT: control_change channel=1 control=121 value=0 time=0
EXTRACT: program_change channel=2 program=25 time=0
EXTRACT: control_change channel=2 control=121 value=0 time=0
EXTRACT: program_change channel=3 program=27 time=0
EXTRACT: control_change channel=3 control=121 value=0 time=0
EXTRACT: program_change channel=4 program=18 time=0
EXTRACT: control_change channel=4 control=121 value=0 time=0
EXTRACT: program_change channel=5 program=79 time=0
EXTRACT: control_change channel=5 control=121 value=0 time=0
EXTRACT: program_change channel=9 program=0 time=0
EXTRACT: control_change channel=9 control=121 value=0 time=0
EXTRACT: control_change channel=0 control=0 value=0 time=0.004098358333333333
EXTRACT: control_change channel=1 control=0 value=0 time=0
EXTRACT: control_change channel=2 control=0 value=0 time=0
EXTRACT: control_change channel=3 control=0 value=0 time=0
EXTRACT: control_change channel=4 control=0 value=0 time=0
EXTRACT: control_change channel=5 control=0 value=0 time=0
EXTRACT: control_change channel=9 control=0 value=0 time=0
EXTRACT: control_change channel=0 control=32 value=0 time=0.004098358333333333
EXTRACT: control_change channel=1 control=32 value=0 time=0
EXTRACT: control_change channel=2 control=32 value=0 time=0
EXTRACT: control_change channel=3 control=32 value=0 time=0
EXTRACT: control_change channel=4 control=32 value=0 time=0
EXTRACT: control_change channel=5 control=32 value=0 time=0
EXTRACT: control_change channel=9 control=32 value=0 time=0
EXTRACT: program_change channel=0 program=35 time=0.004098358333333333
EXTRACT: program_change channel=1 program=25 time=0
EXTRACT: program_change channel=2 program=25 time=0
EXTRACT: program_change channel=3 program=27 time=0
EXTRACT: program_change channel=4 program=18 time=0
EXTRACT: program_change channel=5 program=79 time=0
EXTRACT: program_change channel=9 program=0 time=0
EXTRACT: control_change channel=0 control=7 value=110 time=0.004098358333333333
EXTRACT: control_change channel=1 control=7 value=60 time=0
EXTRACT: control_change channel=2 control=7 value=65 time=0
EXTRACT: control_change channel=3 control=7 value=60 time=0
EXTRACT: control_change channel=4 control=7 value=50 time=0
EXTRACT: control_change channel=5 control=7 value=80 time=0
EXTRACT: control_change channel=9 control=7 value=127 time=0
EXTRACT: control_change channel=0 control=11 value=127 time=0.004098358333333333
EXTRACT: control_change channel=1 control=11 value=127 time=0
EXTRACT: control_change channel=2 control=11 value=127 time=0
EXTRACT: control_change channel=3 control=11 value=127 time=0
EXTRACT: control_change channel=4 control=11 value=127 time=0
EXTRACT: control_change channel=5 control=11 value=127 time=0
EXTRACT: control_change channel=9 control=11 value=127 time=0
EXTRACT: control_change channel=0 control=10 value=64 time=0.004098358333333333
EXTRACT: control_change channel=1 control=10 value=1 time=0
EXTRACT: control_change channel=2 control=10 value=127 time=0
EXTRACT: control_change channel=3 control=10 value=55 time=0
EXTRACT: control_change channel=4 control=10 value=64 time=0
EXTRACT: control_change channel=5 control=10 value=64 time=0
EXTRACT: control_change channel=9 control=10 value=64 time=0
EXTRACT: control_change channel=0 control=91 value=40 time=0.004098358333333333
EXTRACT: control_change channel=1 control=91 value=100 time=0
EXTRACT: control_change channel=2 control=91 value=100 time=0
EXTRACT: control_change channel=3 control=91 value=100 time=0
EXTRACT: control_change channel=4 control=91 value=64 time=0
EXTRACT: control_change channel=5 control=91 value=100 time=0
EXTRACT: control_change channel=9 control=91 value=100 time=0
EXTRACT: control_change channel=0 control=93 value=40 time=0.004098358333333333
EXTRACT: control_change channel=1 control=93 value=100 time=0
EXTRACT: control_change channel=2 control=93 value=100 time=0
EXTRACT: control_change channel=3 control=93 value=64 time=0
EXTRACT: control_change channel=4 control=93 value=20 time=0
EXTRACT: control_change channel=5 control=93 value=40 time=0
EXTRACT: control_change channel=9 control=93 value=0 time=0
EXTRACT: control_change channel=0 control=101 value=0 time=0.004098358333333333
EXTRACT: control_change channel=3 control=94 value=0 time=0
EXTRACT: control_change channel=3 control=101 value=0 time=0
EXTRACT: control_change channel=0 control=100 value=0 time=0.004098358333333333
EXTRACT: control_change channel=3 control=100 value=0 time=0
EXTRACT: control_change channel=0 control=6 value=12 time=0.004098358333333333
EXTRACT: control_change channel=3 control=6 value=2 time=0
EXTRACT: control_change channel=0 control=101 value=127 time=0.004098358333333333
EXTRACT: control_change channel=3 control=101 value=127 time=0
EXTRACT: control_change channel=0 control=100 value=127 time=0.004098358333333333
EXTRACT: control_change channel=3 control=100 value=127 time=0
EXTRACT: note_on channel=9 note=36 velocity=60 time=1.9057366249999999
EXTRACT: note_on channel=2 note=64 velocity=95 time=0.004098358333333333
EXTRACT: note_on channel=2 note=62 velocity=113 time=0
EXTRACT: note_on channel=2 note=57 velocity=96 time=0
EXTRACT: note_on channel=2 note=50 velocity=104 time=0
EXTRACT: note_on channel=1 note=64 velocity=112 time=0.008196716666666666
EXTRACT: note_on channel=1 note=62 velocity=82 time=0
EXTRACT: note_on channel=1 note=57 velocity=82 time=0
EXTRACT: note_on channel=1 note=50 velocity=83 time=0
EXTRACT: note_on channel=9 note=36 velocity=0 time=0.02868850833333333
EXTRACT: note_on channel=2 note=64 velocity=0 time=0.45081941666666664
EXTRACT: note_on channel=2 note=62 velocity=0 time=0
EXTRACT: note_on channel=2 note=57 velocity=0 time=0
EXTRACT: note_on channel=2 note=50 velocity=0 time=0
EXTRACT: note_on channel=9 note=40 velocity=72 time=0
EXTRACT: note_on channel=9 note=28 velocity=72 time=0
EXTRACT: note_on channel=2 note=64 velocity=88 time=0.004098358333333333
EXTRACT: note_on channel=2 note=62 velocity=87 time=0
EXTRACT: note_on channel=2 note=57 velocity=86 time=0
EXTRACT: note_on channel=2 note=50 velocity=97 time=0
EXTRACT: note_on channel=1 note=64 velocity=0 time=0.004098358333333333
EXTRACT: note_on channel=1 note=62 velocity=0 time=0
EXTRACT: note_on channel=1 note=57 velocity=0 time=0
EXTRACT: note_on channel=1 note=50 velocity=0 time=0
EXTRACT: note_on channel=1 note=64 velocity=89 time=0.004098358333333333
EXTRACT: note_on channel=1 note=62 velocity=87 time=0
EXTRACT: note_on channel=1 note=57 velocity=84 time=0
EXTRACT: note_on channel=1 note=50 velocity=97 time=0
EXTRACT: note_on channel=9 note=40 velocity=0 time=0.02868850833333333
EXTRACT: note_on channel=9 note=28 velocity=0 time=0
EXTRACT: note_on channel=2 note=64 velocity=0 time=0.45081941666666664
EXTRACT: note_on channel=2 note=62 velocity=0 time=0
EXTRACT: note_on channel=2 note=57 velocity=0 time=0
EXTRACT: note_on channel=2 note=50 velocity=0 time=0
EXTRACT: note_on channel=9 note=36 velocity=60 time=0
EXTRACT: note_on channel=2 note=64 velocity=98 time=0.004098358333333333
EXTRACT: note_on channel=2 note=62 velocity=109 time=0
EXTRACT: note_on channel=2 note=57 velocity=110 time=0
EXTRACT: note_on channel=2 note=50 velocity=105 time=0
EXTRACT: note_on channel=1 note=64 velocity=0 time=0.004098358333333333
EXTRACT: note_on channel=1 note=62 velocity=0 time=0
EXTRACT: note_on channel=1 note=57 velocity=0 time=0
EXTRACT: note_on channel=1 note=50 velocity=0 time=0
EXTRACT: note_on channel=1 note=64 velocity=85 time=0.004098358333333333
EXTRACT: note_on channel=1 note=62 velocity=99 time=0
EXTRACT: note_on channel=1 note=57 velocity=108 time=0
EXTRACT: note_on channel=1 note=50 velocity=117 time=0
EXTRACT: note_on channel=9 note=36 velocity=0 time=0.02868850833333333
EXTRACT: note_on channel=2 note=64 velocity=0 time=0.20491791666666664
EXTRACT: note_on channel=2 note=62 velocity=0 time=0
EXTRACT: note_on channel=2 note=57 velocity=0 time=0
EXTRACT: note_on channel=2 note=50 velocity=0 time=0
EXTRACT: note_on channel=9 note=36 velocity=60 time=0
EXTRACT: note_on channel=2 note=64 velocity=94 time=0.004098358333333333
EXTRACT: note_on channel=2 note=62 velocity=89 time=0
EXTRACT: note_on channel=2 note=57 velocity=95 time=0
EXTRACT: note_on channel=1 note=64 velocity=0 time=0.004098358333333333
EXTRACT: note_on channel=1 note=62 velocity=0 time=0
EXTRACT: note_on channel=1 note=57 velocity=0 time=0
EXTRACT: note_on channel=1 note=50 velocity=0 time=0
EXTRACT: note_on channel=1 note=64 velocity=76 time=0.004098358333333333
EXTRACT: note_on channel=1 note=62 velocity=105 time=0
EXTRACT: note_on channel=1 note=57 velocity=115 time=0
EXTRACT: note_on channel=9 note=36 velocity=0 time=0.02868850833333333
EXTRACT: note_on channel=2 note=64 velocity=0 time=0.20491791666666664
EXTRACT: note_on channel=2 note=62 velocity=0 time=0
EXTRACT: note_on channel=2 note=57 velocity=0 time=0
EXTRACT: note_on channel=9 note=40 velocity=72 time=0
EXTRACT: note_on channel=9 note=28 velocity=72 time=0
EXTRACT: note_on channel=2 note=64 velocity=107 time=0.004098358333333333
EXTRACT: note_on channel=2 note=62 velocity=105 time=0
EXTRACT: note_on channel=2 note=57 velocity=95 time=0
EXTRACT: note_on channel=2 note=50 velocity=106 time=0
EXTRACT: note_on channel=1 note=64 velocity=0 time=0.004098358333333333
EXTRACT: note_on channel=1 note=62 velocity=0 time=0
EXTRACT: note_on channel=1 note=57 velocity=0 time=0
EXTRACT: note_on channel=1 note=64 velocity=103 time=0.004098358333333333
EXTRACT: note_on channel=1 note=62 velocity=83 time=0
EXTRACT: note_on channel=1 note=57 velocity=87 time=0
EXTRACT: note_on channel=1 note=50 velocity=110 time=0
EXTRACT: note_on channel=9 note=40 velocity=0 time=0.02868850833333333
EXTRACT: note_on channel=9 note=28 velocity=0 time=0
EXTRACT: note_on channel=2 note=64 velocity=0 time=0.20491791666666664
EXTRACT: note_on channel=2 note=62 velocity=0 time=0
EXTRACT: note_on channel=2 note=57 velocity=0 time=0
EXTRACT: note_on channel=2 note=50 velocity=0 time=0
