EXTRACT: program_change channel=0 program=73 time=0
EXTRACT: control_change channel=0 control=7 value=127 time=0
EXTRACT: program_change channel=1 program=0 time=0
EXTRACT: control_change channel=1 control=7 value=127 time=0
EXTRACT: program_change channel=2 program=0 time=0
EXTRACT: control_change channel=2 control=7 value=127 time=0
EXTRACT: program_change channel=3 program=52 time=0
EXTRACT: control_change channel=3 control=7 value=127 time=0
EXTRACT: control_change channel=9 control=7 value=127 time=0
EXTRACT: control_change channel=9 control=7 value=127 time=0
EXTRACT: note_on channel=9 note=41 velocity=127 time=0
EXTRACT: note_on channel=9 note=47 velocity=127 time=0
EXTRACT: program_change channel=4 program=119 time=0
EXTRACT: control_change channel=4 control=7 value=127 time=0
EXTRACT: control_change channel=9 control=7 value=127 time=0
EXTRACT: control_change channel=9 control=7 value=127 time=0
EXTRACT: program_change channel=5 program=50 time=0
EXTRACT: control_change channel=5 control=7 value=127 time=0
EXTRACT: control_change channel=5 control=10 value=64 time=0
EXTRACT: program_change channel=10 program=51 time=0
EXTRACT: control_change channel=10 control=7 value=127 time=0
EXTRACT: control_change channel=10 control=10 value=64 time=0
EXTRACT: program_change channel=6 program=50 time=0
EXTRACT: control_change channel=6 control=7 value=127 time=0
EXTRACT: control_change channel=6 control=10 value=64 time=0
EXTRACT: note_on channel=9 note=41 velocity=0 time=0.060267825000000004
EXTRACT: note_on channel=9 note=47 velocity=0 time=0
EXTRACT: note_on channel=9 note=41 velocity=127 time=0.006696425000000001
EXTRACT: note_on channel=9 note=47 velocity=127 time=0
EXTRACT: note_on channel=9 note=41 velocity=0 time=0.060267825000000004
EXTRACT: note_on channel=9 note=47 velocity=0 time=0
EXTRACT: note_on channel=9 note=41 velocity=127 time=0.006696425000000001
EXTRACT: note_on channel=9 note=47 velocity=127 time=0
EXTRACT: note_on channel=9 note=41 velocity=0 time=0.261160575
EXTRACT: note_on channel=9 note=47 velocity=0 time=0
EXTRACT: note_on channel=9 note=41 velocity=127 time=0.006696425000000001
EXTRACT: note_on channel=9 note=47 velocity=127 time=0
EXTRACT: note_on channel=9 note=41 velocity=0 time=0.261160575
EXTRACT: note_on channel=9 note=47 velocity=0 time=0
EXTRACT: note_on channel=9 note=41 velocity=127 time=0.006696425000000001
EXTRACT: note_on channel=9 note=47 velocity=127 time=0
EXTRACT: note_on channel=9 note=41 velocity=0 time=0.261160575
EXTRACT: note_on channel=9 note=47 velocity=0 time=0
EXTRACT: note_on channel=9 note=41 velocity=127 time=0.006696425000000001
EXTRACT: note_on channel=9 note=47 velocity=127 time=0
EXTRACT: note_on channel=9 note=41 velocity=0 time=0.127232075
EXTRACT: note_on channel=9 note=47 velocity=0 time=0
EXTRACT: note_on channel=9 note=41 velocity=127 time=0.006696425000000001
EXTRACT: note_on channel=9 note=47 velocity=127 time=0
EXTRACT: note_on channel=9 note=41 velocity=0 time=0.261160575
EXTRACT: note_on channel=9 note=47 velocity=0 time=0
EXTRACT: note_on channel=9 note=41 velocity=127 time=0.006696425000000001
EXTRACT: note_on channel=9 note=47 velocity=127 time=0
EXTRACT: note_on channel=9 note=41 velocity=0 time=0.261160575
EXTRACT: note_on channel=9 note=47 velocity=0 time=0
EXTRACT: note_on channel=9 note=41 velocity=127 time=0.006696425000000001
EXTRACT: note_on channel=9 note=47 velocity=127 time=0
EXTRACT: note_on channel=9 note=41 velocity=0 time=0.261160575
EXTRACT: note_on channel=9 note=47 velocity=0 time=0
EXTRACT: note_on channel=9 note=41 velocity=127 time=0.006696425000000001
EXTRACT: note_on channel=9 note=47 velocity=127 time=0
EXTRACT: note_on channel=9 note=41 velocity=0 time=0.261160575
EXTRACT: note_on channel=9 note=47 velocity=0 time=0
EXTRACT: note_on channel=9 note=41 velocity=127 time=0.006696425000000001
EXTRACT: note_on channel=9 note=47 velocity=127 time=0
EXTRACT: note_on channel=9 note=41 velocity=0 time=0.060267825000000004
EXTRACT: note_on channel=9 note=47 velocity=0 time=0
EXTRACT: note_on channel=9 note=41 velocity=127 time=0.006696425000000001
EXTRACT: note_on channel=9 note=47 velocity=127 time=0
EXTRACT: note_on channel=9 note=41 velocity=0 time=0.060267825000000004
EXTRACT: note_on channel=9 note=47 velocity=0 time=0
EXTRACT: note_on channel=9 note=41 velocity=127 time=0.006696425000000001
EXTRACT: note_on channel=9 note=47 velocity=127 time=0
EXTRACT: note_on channel=9 note=41 velocity=0 time=0.261160575
EXTRACT: note_on channel=9 note=47 velocity=0 time=0
EXTRACT: note_on channel=9 note=41 velocity=127 time=0.006696425000000001
EXTRACT: note_on channel=9 note=47 velocity=127 time=0
EXTRACT: note_on channel=9 note=41 velocity=0 time=0.261160575
EXTRACT: note_on channel=9 note=47 velocity=0 time=0
EXTRACT: note_on channel=9 note=41 velocity=127 time=0.006696425000000001
EXTRACT: note_on channel=9 note=47 velocity=127 time=0
EXTRACT: note_on channel=9 note=41 velocity=0 time=0.261160575
EXTRACT: note_on channel=9 note=47 velocity=0 time=0
EXTRACT: note_on channel=9 note=41 velocity=127 time=0.006696425000000001
EXTRACT: note_on channel=9 note=47 velocity=127 time=0
EXTRACT: note_on channel=9 note=41 velocity=0 time=0.127232075
EXTRACT: note_on channel=9 note=47 velocity=0 time=0
EXTRACT: note_on channel=9 note=41 velocity=127 time=0.006696425000000001
EXTRACT: note_on channel=9 note=47 velocity=127 time=0
EXTRACT: note_on channel=9 note=41 velocity=0 time=0.261160575
EXTRACT: note_on channel=9 note=47 velocity=0 time=0
EXTRACT: note_on channel=9 note=41 velocity=127 time=0.006696425000000001
EXTRACT: note_on channel=9 note=47 velocity=127 time=0
EXTRACT: note_on channel=9 note=41 velocity=0 time=0.261160575
EXTRACT: note_on channel=9 note=47 velocity=0 time=0
EXTRACT: note_on channel=9 note=41 velocity=127 time=0.006696425000000001
EXTRACT: note_on channel=9 note=47 velocity=127 time=0
EXTRACT: note_on channel=9 note=41 velocity=0 time=0.261160575
EXTRACT: note_on channel=9 note=47 velocity=0 time=0
EXTRACT: note_on channel=9 note=41 velocity=127 time=0.006696425000000001
EXTRACT: note_on channel=9 note=47 velocity=127 time=0
EXTRACT: note_on channel=9 note=41 velocity=0 time=0.261160575
EXTRACT: note_on channel=9 note=47 velocity=0 time=0
EXTRACT: note_on channel=9 note=41 velocity=127 time=0.006696425000000001
EXTRACT: note_on channel=9 note=47 velocity=127 time=0
EXTRACT: note_on channel=9 note=41 velocity=0 time=0.060267825000000004
EXTRACT: note_on channel=9 note=47 velocity=0 time=0
EXTRACT: note_on channel=9 note=41 velocity=127 time=0.006696425000000001
EXTRACT: note_on channel=9 note=47 velocity=127 time=0
EXTRACT: note_on channel=9 note=41 velocity=0 time=0.060267825000000004
EXTRACT: note_on channel=9 note=47 velocity=0 time=0
EXTRACT: note_on channel=9 note=41 velocity=127 time=0.006696425000000001
EXTRACT: note_on channel=9 note=47 velocity=127 time=0
EXTRACT: note_on channel=9 note=41 velocity=0 time=0.261160575
EXTRACT: note_on channel=9 note=47 velocity=0 time=0
EXTRACT: note_on channel=9 note=41 velocity=127 time=0.006696425000000001
EXTRACT: note_on channel=9 note=47 velocity=127 time=0
EXTRACT: note_on channel=9 note=41 velocity=0 time=0.261160575
EXTRACT: note_on channel=9 note=47 velocity=0 time=0
EXTRACT: note_on channel=9 note=41 velocity=127 time=0.006696425000000001
EXTRACT: note_on channel=9 note=47 velocity=127 time=0
EXTRACT: note_on channel=9 note=41 velocity=0 time=0.261160575
EXTRACT: note_on channel=9 note=47 velocity=0 time=0
EXTRACT: note_on channel=9 note=41 velocity=127 time=0.006696425000000001
EXTRACT: note_on channel=9 note=47 velocity=127 time=0
EXTRACT: note_on channel=9 note=41 velocity=0 time=0.127232075
EXTRACT: note_on channel=9 note=47 velocity=0 time=0
EXTRACT: note_on channel=9 note=41 velocity=127 time=0.006696425000000001
EXTRACT: note_on channel=9 note=47 velocity=127 time=0
EXTRACT: note_on channel=9 note=41 velocity=0 time=0.261160575
EXTRACT: note_on channel=9 note=47 velocity=0 time=0
EXTRACT: note_on channel=9 note=41 velocity=127 time=0.006696425000000001
EXTRACT: note_on channel=9 note=47 velocity=127 time=0
EXTRACT: note_on channel=9 note=41 velocity=0 time=0.261160575
EXTRACT: note_on channel=9 note=47 velocity=0 time=0
EXTRACT: note_on channel=9 note=41 velocity=127 time=0.006696425000000001
EXTRACT: note_on channel=9 note=47 velocity=127 time=0
EXTRACT: note_on channel=9 note=41 velocity=0 time=0.261160575
EXTRACT: note_on channel=9 note=47 velocity=0 time=0
EXTRACT: note_on channel=9 note=41 velocity=127 time=0.006696425000000001
EXTRACT: note_on channel=9 note=47 velocity=127 time=0
EXTRACT: note_on channel=9 note=41 velocity=0 time=0.261160575
EXTRACT: note_on channel=9 note=47 velocity=0 time=0
EXTRACT: note_on channel=9 note=41 velocity=127 time=0.006696425000000001
EXTRACT: note_on channel=9 note=47 velocity=127 time=0
EXTRACT: note_on channel=9 note=41 velocity=0 time=0.060267825000000004
EXTRACT: note_on channel=9 note=47 velocity=0 time=0
EXTRACT: note_on channel=9 note=41 velocity=127 time=0.006696425000000001
EXTRACT: note_on channel=9 note=47 velocity=127 time=0
EXTRACT: note_on channel=9 note=41 velocity=0 time=0.060267825000000004
EXTRACT: note_on channel=9 note=47 velocity=0 time=0
EXTRACT: note_on channel=9 note=41 velocity=127 time=0.006696425000000001
EXTRACT: note_on channel=9 note=47 velocity=127 time=0
EXTRACT: note_on channel=9 note=41 velocity=0 time=0.261160575
