EXTRACT: program_change channel=0 program=0 time=0
EXTRACT: control_change channel=0 control=7 value=100 time=0
EXTRACT: control_change channel=0 control=10 value=60 time=0
EXTRACT: program_change channel=1 program=42 time=0
EXTRACT: control_change channel=1 control=7 value=100 time=0
EXTRACT: control_change channel=1 control=10 value=70 time=0
EXTRACT: program_change channel=2 program=62 time=0
EXTRACT: control_change channel=2 control=7 value=100 time=0
EXTRACT: control_change channel=2 control=10 value=50 time=0
EXTRACT: program_change channel=3 program=61 time=0
EXTRACT: control_change channel=3 control=7 value=100 time=0
EXTRACT: control_change channel=3 control=10 value=80 time=0
EXTRACT: program_change channel=4 program=54 time=0
EXTRACT: control_change channel=4 control=7 value=110 time=0
EXTRACT: control_change channel=4 control=10 value=40 time=0
EXTRACT: program_change channel=5 program=52 time=0
EXTRACT: control_change channel=5 control=7 value=90 time=0
EXTRACT: control_change channel=5 control=10 value=80 time=0
EXTRACT: program_change channel=9 program=0 time=0
EXTRACT: control_change channel=9 control=7 value=127 time=0
EXTRACT: control_change channel=9 control=10 value=60 time=0
EXTRACT: note_on channel=0 note=41 velocity=100 time=1.8260864999999997
EXTRACT: note_on channel=0 note=41 velocity=0 time=0.2608695
EXTRACT: note_on channel=0 note=46 velocity=100 time=0
EXTRACT: note_on channel=1 note=70 velocity=100 time=0
EXTRACT: note_on channel=0 note=46 velocity=0 time=0.2608695
EXTRACT: note_on channel=0 note=49 velocity=100 time=0
EXTRACT: note_on channel=0 note=49 velocity=0 time=0.2608695
EXTRACT: note_on channel=1 note=70 velocity=0 time=0
EXTRACT: note_on channel=0 note=58 velocity=100 time=0
EXTRACT: note_on channel=0 note=61 velocity=100 time=0
EXTRACT: note_on channel=0 note=53 velocity=100 time=0
EXTRACT: note_on channel=0 note=53 velocity=0 time=0.2608695
EXTRACT: note_on channel=0 note=61 velocity=0 time=0
EXTRACT: note_on channel=0 note=58 velocity=0 time=0
EXTRACT: note_on channel=1 note=73 velocity=100 time=0.2608695
EXTRACT: note_on channel=0 note=58 velocity=100 time=0.2608695
EXTRACT: note_on channel=0 note=61 velocity=100 time=0
EXTRACT: note_on channel=0 note=61 velocity=0 time=0.2608695
EXTRACT: note_on channel=0 note=58 velocity=0 time=0
EXTRACT: note_on channel=1 note=73 velocity=0 time=0
EXTRACT: note_on channel=0 note=53 velocity=100 time=0.2608695
EXTRACT: note_on channel=0 note=53 velocity=0 time=0.2608695
EXTRACT: note_on channel=0 note=48 velocity=100 time=0
EXTRACT: note_on channel=1 note=72 velocity=100 time=0
EXTRACT: note_on channel=0 note=48 velocity=0 time=0.2608695
EXTRACT: note_on channel=0 note=53 velocity=100 time=0
EXTRACT: note_on channel=0 note=53 velocity=0 time=0.2608695
EXTRACT: note_on channel=1 note=72 velocity=0 time=0
EXTRACT: note_on channel=0 note=60 velocity=100 time=0
EXTRACT: note_on channel=0 note=57 velocity=100 time=0
EXTRACT: note_on channel=0 note=57 velocity=0 time=0.2608695
EXTRACT: note_on channel=0 note=60 velocity=0 time=0
EXTRACT: note_on channel=0 note=57 velocity=100 time=0
EXTRACT: note_on channel=0 note=66 velocity=100 time=0
EXTRACT: note_on channel=0 note=66 velocity=0 time=0.2608695
EXTRACT: note_on channel=0 note=57 velocity=0 time=0
EXTRACT: note_on channel=0 note=57 velocity=100 time=0
EXTRACT: note_on channel=0 note=65 velocity=100 time=0
EXTRACT: note_on channel=1 note=75 velocity=100 time=0
EXTRACT: note_on channel=0 note=65 velocity=0 time=0.2608695
EXTRACT: note_on channel=0 note=57 velocity=0 time=0
EXTRACT: note_on channel=1 note=75 velocity=0 time=0.2608695
EXTRACT: note_on channel=0 note=65 velocity=100 time=0.2608695
EXTRACT: note_on channel=0 note=65 velocity=0 time=0.2608695
EXTRACT: note_on channel=0 note=48 velocity=100 time=0
