EXTRACT: program_change channel=9 program=25 time=0
EXTRACT: control_change channel=9 control=7 value=100 time=0
EXTRACT: program_change channel=1 program=39 time=0
EXTRACT: control_change channel=1 control=7 value=100 time=0
EXTRACT: program_change channel=10 program=50 time=0
EXTRACT: control_change channel=10 control=7 value=93 time=0
EXTRACT: program_change channel=3 program=80 time=0
EXTRACT: control_change channel=3 control=7 value=107 time=0
EXTRACT: program_change channel=4 program=81 time=0
EXTRACT: control_change channel=4 control=7 value=97 time=0
EXTRACT: program_change channel=5 program=25 time=0
EXTRACT: control_change channel=5 control=7 value=102 time=0
EXTRACT: program_change channel=6 program=25 time=0
EXTRACT: control_change channel=6 control=7 value=98 time=0
EXTRACT: program_change channel=7 program=2 time=0
EXTRACT: control_change channel=7 control=7 value=96 time=0
EXTRACT: program_change channel=8 program=122 time=0
EXTRACT: control_change channel=8 control=7 value=92 time=0
EXTRACT: program_change channel=2 program=51 time=0
EXTRACT: program_change channel=0 program=50 time=0
EXTRACT: program_change channel=9 program=25 time=0
EXTRACT: control_change channel=1 control=121 value=0 time=0.36111075000000004
EXTRACT: control_change channel=10 control=121 value=0 time=0.005952375000000001
EXTRACT: control_change channel=3 control=121 value=0 time=0.00396825
EXTRACT: control_change channel=4 control=121 value=0 time=0.005952375000000001
EXTRACT: control_change channel=5 control=121 value=0 time=0.00396825
EXTRACT: control_change channel=6 control=121 value=0 time=0.005952375000000001
EXTRACT: control_change channel=7 control=121 value=0 time=0.00396825
EXTRACT: control_change channel=8 control=121 value=0 time=0.005952375000000001
EXTRACT: control_change channel=9 control=121 value=0 time=0.00396825
EXTRACT: control_change channel=1 control=11 value=127 time=0.11904750000000001
EXTRACT: control_change channel=1 control=91 value=12 time=0.005952375000000001
EXTRACT: control_change channel=1 control=93 value=46 time=0
EXTRACT: control_change channel=10 control=11 value=127 time=0.01984125
EXTRACT: control_change channel=10 control=91 value=52 time=0.00396825
EXTRACT: control_change channel=10 control=93 value=65 time=0
EXTRACT: control_change channel=3 control=11 value=127 time=0.01984125
EXTRACT: control_change channel=3 control=91 value=114 time=0.005952375000000001
EXTRACT: control_change channel=3 control=93 value=105 time=0
EXTRACT: control_change channel=4 control=11 value=127 time=0.01984125
EXTRACT: control_change channel=4 control=91 value=110 time=0.00396825
EXTRACT: control_change channel=4 control=93 value=80 time=0
EXTRACT: control_change channel=5 control=11 value=127 time=0.01984125
EXTRACT: control_change channel=5 control=91 value=52 time=0.005952375000000001
EXTRACT: control_change channel=5 control=93 value=88 time=0
EXTRACT: control_change channel=6 control=11 value=127 time=0.01984125
EXTRACT: control_change channel=6 control=91 value=52 time=0.00396825
EXTRACT: control_change channel=6 control=93 value=71 time=0
EXTRACT: control_change channel=7 control=11 value=127 time=0.01984125
EXTRACT: control_change channel=7 control=91 value=52 time=0.005952375000000001
EXTRACT: control_change channel=7 control=93 value=27 time=0
EXTRACT: control_change channel=8 control=11 value=127 time=0.01984125
EXTRACT: control_change channel=8 control=91 value=52 time=0.00396825
EXTRACT: control_change channel=8 control=93 value=20 time=0
EXTRACT: control_change channel=9 control=11 value=127 time=0.01984125
EXTRACT: control_change channel=9 control=91 value=59 time=0.005952375000000001
EXTRACT: control_change channel=9 control=93 value=81 time=0
EXTRACT: note_on channel=2 note=64 velocity=64 time=3.0853143750000003
EXTRACT: note_on channel=2 note=61 velocity=64 time=0
EXTRACT: note_on channel=2 note=68 velocity=64 time=0
EXTRACT: note_on channel=4 note=71 velocity=94 time=0.7142850000000001
EXTRACT: note_on channel=2 note=68 velocity=0 time=0.16269825000000002
EXTRACT: note_on channel=2 note=61 velocity=0 time=0
EXTRACT: note_on channel=2 note=64 velocity=0 time=0
EXTRACT: note_on channel=2 note=61 velocity=64 time=0.029761875000000004
EXTRACT: note_on channel=2 note=66 velocity=64 time=0
EXTRACT: note_on channel=2 note=69 velocity=64 time=0
EXTRACT: note_on channel=4 note=71 velocity=0 time=0.009920625
EXTRACT: note_on channel=4 note=73 velocity=77 time=0.03571425
EXTRACT: note_on channel=4 note=73 velocity=0 time=0.11507925000000001
EXTRACT: note_on channel=4 note=76 velocity=76 time=0.00396825
EXTRACT: note_on channel=4 note=76 velocity=0 time=0.11507925000000001
EXTRACT: note_on channel=4 note=78 velocity=81 time=0.00396825
