EXTRACT: sysex data=(126,127,9,1) time=0
EXTRACT: program_change channel=0 program=33 time=0
EXTRACT: control_change channel=0 control=7 value=120 time=0
EXTRACT: program_change channel=1 program=89 time=0
EXTRACT: control_change channel=1 control=7 value=73 time=0
EXTRACT: program_change channel=2 program=73 time=0
EXTRACT: control_change channel=2 control=7 value=119 time=0
EXTRACT: program_change channel=3 program=29 time=0
EXTRACT: control_change channel=3 control=7 value=88 time=0
EXTRACT: program_change channel=4 program=29 time=0
EXTRACT: control_change channel=4 control=7 value=98 time=0
EXTRACT: program_change channel=5 program=29 time=0
EXTRACT: control_change channel=5 control=7 value=98 time=0
EXTRACT: program_change channel=6 program=29 time=0
EXTRACT: control_change channel=6 control=7 value=101 time=0
EXTRACT: program_change channel=7 program=88 time=0
EXTRACT: control_change channel=7 control=7 value=108 time=0
EXTRACT: program_change channel=8 program=41 time=0
EXTRACT: control_change channel=8 control=7 value=117 time=0
EXTRACT: program_change channel=9 program=0 time=0
EXTRACT: control_change channel=9 control=7 value=124 time=0
EXTRACT: program_change channel=10 program=4 time=0
EXTRACT: control_change channel=10 control=7 value=101 time=0
EXTRACT: program_change channel=11 program=25 time=0
EXTRACT: control_change channel=11 control=7 value=76 time=0
EXTRACT: program_change channel=12 program=25 time=0
EXTRACT: control_change channel=12 control=7 value=73 time=0
EXTRACT: control_change channel=0 control=0 value=0 time=0
EXTRACT: control_change channel=0 control=32 value=0 time=0
EXTRACT: control_change channel=1 control=0 value=0 time=0
EXTRACT: control_change channel=1 control=32 value=0 time=0
EXTRACT: control_change channel=2 control=0 value=0 time=0
EXTRACT: control_change channel=2 control=32 value=0 time=0
EXTRACT: control_change channel=3 control=0 value=0 time=0
EXTRACT: control_change channel=3 control=32 value=0 time=0
EXTRACT: control_change channel=3 control=10 value=39 time=0
EXTRACT: control_change channel=4 control=0 value=0 time=0
EXTRACT: control_change channel=4 control=32 value=0 time=0
EXTRACT: control_change channel=4 control=10 value=84 time=0
EXTRACT: control_change channel=5 control=0 value=0 time=0
EXTRACT: control_change channel=5 control=32 value=0 time=0
EXTRACT: control_change channel=5 control=10 value=84 time=0
EXTRACT: control_change channel=6 control=0 value=0 time=0
