EXTRACT: program_change channel=0 program=0 time=0
EXTRACT: program_change channel=1 program=0 time=0
EXTRACT: note_on channel=1 note=62 velocity=95 time=0
EXTRACT: program_change channel=2 program=0 time=0
EXTRACT: note_off channel=1 note=62 velocity=0 time=1.2333321
EXTRACT: note_on channel=1 note=62 velocity=95 time=0.0999999
EXTRACT: note_off channel=1 note=62 velocity=0 time=1.2333321
EXTRACT: note_on channel=1 note=62 velocity=95 time=0.0999999
EXTRACT: note_off channel=1 note=62 velocity=0 time=1.2333321
EXTRACT: note_on channel=1 note=62 velocity=95 time=0.0999999
EXTRACT: note_off channel=1 note=62 velocity=0 time=0.7999992
EXTRACT: note_on channel=1 note=62 velocity=95 time=0.08888879999999999
EXTRACT: note_off channel=1 note=62 velocity=0 time=0.3999996
EXTRACT: note_on channel=1 note=62 velocity=95 time=0.044444399999999995
EXTRACT: note_on channel=1 note=59 velocity=95 time=0
EXTRACT: note_on channel=2 note=47 velocity=95 time=0
EXTRACT: note_on channel=2 note=54 velocity=95 time=0
EXTRACT: note_off channel=1 note=62 velocity=0 time=1.2333321
EXTRACT: note_on channel=1 note=62 velocity=95 time=0.0999999
EXTRACT: note_off channel=1 note=59 velocity=0 time=1.2333321
EXTRACT: note_off channel=1 note=62 velocity=0 time=0
EXTRACT: note_off channel=2 note=47 velocity=0 time=0
EXTRACT: note_off channel=2 note=54 velocity=0 time=0
EXTRACT: note_on channel=1 note=59 velocity=95 time=0.0999999
EXTRACT: note_on channel=1 note=62 velocity=95 time=0
EXTRACT: note_on channel=2 note=50 velocity=95 time=0
EXTRACT: note_on channel=2 note=43 velocity=95 time=0
EXTRACT: note_off channel=1 note=62 velocity=0 time=1.2333321
EXTRACT: note_on channel=1 note=62 velocity=95 time=0.0999999
EXTRACT: note_off channel=1 note=59 velocity=0 time=1.2333321
EXTRACT: note_off channel=1 note=62 velocity=0 time=0
EXTRACT: note_off channel=2 note=50 velocity=0 time=0
EXTRACT: note_off channel=2 note=43 velocity=0 time=0
EXTRACT: note_on channel=1 note=54 velocity=95 time=0.0999999
EXTRACT: note_on channel=1 note=62 velocity=95 time=0
EXTRACT: note_on channel=2 note=45 velocity=95 time=0
EXTRACT: note_on channel=2 note=38 velocity=95 time=0
EXTRACT: note_off channel=1 note=62 velocity=0 time=1.2333321
EXTRACT: note_on channel=1 note=62 velocity=95 time=0.0999999
EXTRACT: note_off channel=1 note=54 velocity=0 time=1.2333321
EXTRACT: note_off channel=1 note=62 velocity=0 time=0
EXTRACT: note_off channel=2 note=45 velocity=0 time=0
EXTRACT: note_off channel=2 note=38 velocity=0 time=0
EXTRACT: note_on channel=1 note=62 velocity=95 time=0.0999999
EXTRACT: note_on channel=1 note=61 velocity=95 time=0
EXTRACT: note_on channel=2 note=45 velocity=95 time=0
EXTRACT: note_on channel=2 note=52 velocity=95 time=0
EXTRACT: note_off channel=1 note=62 velocity=0 time=1.2333321
EXTRACT: note_on channel=1 note=62 velocity=95 time=0.0999999
EXTRACT: note_off channel=1 note=61 velocity=0 time=1.2333321
EXTRACT: note_off channel=1 note=62 velocity=0 time=0
EXTRACT: note_off channel=2 note=45 velocity=0 time=0
EXTRACT: note_off channel=2 note=52 velocity=0 time=0
EXTRACT: note_on channel=1 note=59 velocity=95 time=0.0999999
EXTRACT: note_on channel=1 note=62 velocity=95 time=0
EXTRACT: note_on channel=2 note=54 velocity=95 time=0
EXTRACT: note_on channel=2 note=47 velocity=95 time=0
EXTRACT: note_off channel=1 note=62 velocity=0 time=1.2333321
EXTRACT: note_on channel=0 note=66 velocity=95 time=0.0999999
EXTRACT: note_on channel=1 note=62 velocity=95 time=0
EXTRACT: note_off channel=0 note=66 velocity=0 time=0.3999996
EXTRACT: note_on channel=0 note=64 velocity=95 time=0.044444399999999995
EXTRACT: note_off channel=0 note=64 velocity=0 time=0.3999996
EXTRACT: note_on channel=0 note=64 velocity=95 time=0.044444399999999995
EXTRACT: note_off channel=1 note=59 velocity=0 time=0.3444441
EXTRACT: note_off channel=1 note=62 velocity=0 time=0
EXTRACT: note_off channel=2 note=54 velocity=0 time=0
EXTRACT: note_off channel=2 note=47 velocity=0 time=0
EXTRACT: note_off channel=0 note=64 velocity=0 time=0.0555555
EXTRACT: note_on channel=0 note=64 velocity=95 time=0.044444399999999995
EXTRACT: note_on channel=1 note=59 velocity=95 time=0
EXTRACT: note_on channel=1 note=62 velocity=95 time=0
EXTRACT: note_on channel=2 note=50 velocity=95 time=0
EXTRACT: note_on channel=2 note=43 velocity=95 time=0
EXTRACT: note_off channel=0 note=64 velocity=0 time=0.3999996
EXTRACT: note_on channel=0 note=64 velocity=95 time=0.044444399999999995
EXTRACT: note_off channel=0 note=64 velocity=0 time=0.3999996
EXTRACT: note_on channel=0 note=66 velocity=95 time=0.044444399999999995
EXTRACT: note_off channel=1 note=62 velocity=0 time=0.3444441
EXTRACT: note_off channel=0 note=66 velocity=0 time=0.0555555
EXTRACT: note_on channel=0 note=64 velocity=95 time=0.044444399999999995
EXTRACT: note_on channel=1 note=62 velocity=95 time=0
EXTRACT: note_off channel=0 note=64 velocity=0 time=0.3999996
EXTRACT: note_on channel=0 note=62 velocity=95 time=0.044444399999999995
EXTRACT: note_off channel=0 note=62 velocity=0 time=0.3999996
EXTRACT: note_on channel=0 note=62 velocity=95 time=0.044444399999999995
EXTRACT: note_off channel=1 note=59 velocity=0 time=0.3444441
EXTRACT: note_off channel=1 note=62 velocity=0 time=0
EXTRACT: note_off channel=2 note=50 velocity=0 time=0
EXTRACT: note_off channel=2 note=43 velocity=0 time=0
EXTRACT: note_off channel=0 note=62 velocity=0 time=0.0555555
EXTRACT: note_on channel=1 note=54 velocity=95 time=0.044444399999999995
EXTRACT: note_on channel=1 note=62 velocity=95 time=0
EXTRACT: note_on channel=2 note=45 velocity=95 time=0
EXTRACT: note_on channel=2 note=38 velocity=95 time=0
EXTRACT: note_off channel=1 note=62 velocity=0 time=1.2333321
EXTRACT: note_on channel=1 note=62 velocity=95 time=0.0999999
EXTRACT: note_off channel=1 note=54 velocity=0 time=1.2333321
EXTRACT: note_off channel=1 note=62 velocity=0 time=0
EXTRACT: note_off channel=2 note=45 velocity=0 time=0
EXTRACT: note_off channel=2 note=38 velocity=0 time=0
EXTRACT: note_on channel=1 note=61 velocity=95 time=0.0999999
EXTRACT: note_on channel=1 note=62 velocity=95 time=0
EXTRACT: note_on channel=2 note=52 velocity=95 time=0
EXTRACT: note_on channel=2 note=45 velocity=95 time=0
EXTRACT: note_off channel=1 note=62 velocity=0 time=1.2333321
EXTRACT: note_on channel=1 note=62 velocity=95 time=0.0999999
EXTRACT: note_off channel=1 note=62 velocity=0 time=0.7999992
EXTRACT: note_on channel=1 note=62 velocity=95 time=0.08888879999999999
EXTRACT: note_off channel=1 note=61 velocity=0 time=0.3444441
EXTRACT: note_off channel=2 note=52 velocity=0 time=0
EXTRACT: note_off channel=2 note=45 velocity=0 time=0
EXTRACT: note_off channel=1 note=62 velocity=0 time=0.0555555
EXTRACT: note_on channel=1 note=59 velocity=95 time=0.044444399999999995
EXTRACT: note_on channel=1 note=62 velocity=95 time=0
EXTRACT: note_on channel=2 note=47 velocity=95 time=0
EXTRACT: note_on channel=2 note=54 velocity=95 time=0
EXTRACT: note_off channel=1 note=62 velocity=0 time=1.2333321
EXTRACT: note_on channel=0 note=66 velocity=95 time=0.0999999
EXTRACT: note_on channel=1 note=62 velocity=95 time=0
EXTRACT: note_off channel=0 note=66 velocity=0 time=0.3999996
