EXTRACT: program_change channel=0 program=0 time=0
EXTRACT: program_change channel=1 program=0 time=0
EXTRACT: note_on channel=1 note=41 velocity=72 time=0
EXTRACT: note_on channel=1 note=29 velocity=72 time=0
EXTRACT: note_off channel=1 note=41 velocity=64 time=0.714285
EXTRACT: note_off channel=1 note=29 velocity=64 time=0
EXTRACT: note_on channel=1 note=52 velocity=72 time=0
EXTRACT: note_on channel=1 note=48 velocity=72 time=0
EXTRACT: note_on channel=1 note=55 velocity=72 time=0
EXTRACT: note_off channel=1 note=52 velocity=64 time=0.53571375
EXTRACT: note_off channel=1 note=48 velocity=64 time=0
EXTRACT: note_off channel=1 note=55 velocity=64 time=0
EXTRACT: note_on channel=1 note=55 velocity=72 time=0
EXTRACT: note_on channel=1 note=52 velocity=72 time=0
EXTRACT: note_on channel=1 note=48 velocity=72 time=0
EXTRACT: note_off channel=1 note=55 velocity=64 time=0.3571425
EXTRACT: note_off channel=1 note=52 velocity=64 time=0
EXTRACT: note_off channel=1 note=48 velocity=64 time=0
EXTRACT: note_on channel=1 note=48 velocity=72 time=0
EXTRACT: note_on channel=1 note=52 velocity=72 time=0
EXTRACT: note_on channel=1 note=55 velocity=72 time=0
EXTRACT: note_off channel=1 note=48 velocity=64 time=0.53571375
EXTRACT: note_off channel=1 note=52 velocity=64 time=0
EXTRACT: note_off channel=1 note=55 velocity=64 time=0
EXTRACT: note_on channel=1 note=55 velocity=72 time=0
EXTRACT: note_on channel=1 note=52 velocity=72 time=0
EXTRACT: note_on channel=1 note=48 velocity=72 time=0
EXTRACT: note_off channel=1 note=55 velocity=64 time=0.53571375
EXTRACT: note_off channel=1 note=52 velocity=64 time=0
EXTRACT: note_off channel=1 note=48 velocity=64 time=0
EXTRACT: note_on channel=1 note=43 velocity=72 time=0
EXTRACT: note_on channel=1 note=31 velocity=72 time=0
EXTRACT: note_off channel=1 note=43 velocity=64 time=0.17857125
EXTRACT: note_off channel=1 note=31 velocity=64 time=0
EXTRACT: note_on channel=1 note=43 velocity=72 time=0
EXTRACT: note_on channel=1 note=31 velocity=72 time=0
EXTRACT: note_off channel=1 note=43 velocity=64 time=0.714285
EXTRACT: note_off channel=1 note=31 velocity=64 time=0
