EXTRACT: program_change channel=1 program=32 time=0
EXTRACT: control_change channel=1 control=7 value=100 time=0
EXTRACT: control_change channel=1 control=10 value=64 time=0
EXTRACT: program_change channel=2 program=0 time=0
EXTRACT: control_change channel=2 control=7 value=90 time=0
EXTRACT: control_change channel=2 control=10 value=64 time=0
EXTRACT: program_change channel=3 program=65 time=0
EXTRACT: control_change channel=3 control=7 value=127 time=0
EXTRACT: control_change channel=3 control=10 value=68 time=0
EXTRACT: program_change channel=4 program=52 time=0
EXTRACT: control_change channel=4 control=7 value=100 time=0
EXTRACT: control_change channel=4 control=10 value=58 time=0
EXTRACT: program_change channel=5 program=48 time=0
EXTRACT: control_change channel=5 control=7 value=100 time=0
EXTRACT: control_change channel=5 control=10 value=64 time=0
EXTRACT: program_change channel=6 program=25 time=0
EXTRACT: control_change channel=6 control=7 value=78 time=0
EXTRACT: control_change channel=6 control=10 value=21 time=0
EXTRACT: program_change channel=7 program=25 time=0
EXTRACT: control_change channel=7 control=7 value=83 time=0
EXTRACT: control_change channel=7 control=10 value=119 time=0
EXTRACT: program_change channel=8 program=26 time=0
EXTRACT: control_change channel=8 control=7 value=87 time=0
EXTRACT: control_change channel=8 control=10 value=42 time=0
EXTRACT: program_change channel=9 program=0 time=0
EXTRACT: control_change channel=9 control=7 value=100 time=0
EXTRACT: control_change channel=9 control=10 value=64 time=0
EXTRACT: program_change channel=10 program=25 time=0
EXTRACT: control_change channel=10 control=7 value=79 time=0
EXTRACT: control_change channel=10 control=10 value=67 time=0
EXTRACT: program_change channel=11 program=50 time=0
EXTRACT: control_change channel=11 control=7 value=60 time=0
EXTRACT: control_change channel=11 control=10 value=64 time=0
EXTRACT: control_change channel=1 control=11 value=127 time=0.51562445
EXTRACT: control_change channel=2 control=11 value=127 time=0.0009191166666666666
EXTRACT: control_change channel=3 control=11 value=127 time=0.0009191166666666666
EXTRACT: control_change channel=4 control=11 value=127 time=0.0009191166666666666
EXTRACT: control_change channel=5 control=11 value=127 time=0.0009191166666666666
EXTRACT: control_change channel=6 control=11 value=127 time=0.0009191166666666666
EXTRACT: control_change channel=7 control=11 value=127 time=0.0009191166666666666
EXTRACT: control_change channel=8 control=11 value=127 time=0.0009191166666666666
EXTRACT: control_change channel=9 control=11 value=127 time=0.0009191166666666666
EXTRACT: control_change channel=10 control=11 value=127 time=0.0009191166666666666
EXTRACT: control_change channel=11 control=11 value=127 time=0.0009191166666666666
EXTRACT: control_change channel=1 control=71 value=64 time=0.0055147
EXTRACT: control_change channel=2 control=71 value=64 time=0.0009191166666666666
EXTRACT: control_change channel=3 control=71 value=64 time=0.0009191166666666666
EXTRACT: control_change channel=4 control=71 value=64 time=0.0009191166666666666
EXTRACT: control_change channel=5 control=71 value=64 time=0.0009191166666666666
EXTRACT: control_change channel=6 control=71 value=64 time=0.0009191166666666666
EXTRACT: control_change channel=7 control=71 value=64 time=0.0009191166666666666
EXTRACT: control_change channel=8 control=71 value=64 time=0.0009191166666666666
EXTRACT: control_change channel=9 control=71 value=64 time=0.0009191166666666666
EXTRACT: control_change channel=10 control=71 value=64 time=0.0009191166666666666
EXTRACT: control_change channel=11 control=71 value=64 time=0.0009191166666666666
EXTRACT: control_change channel=1 control=72 value=64 time=0.0055147
EXTRACT: control_change channel=2 control=72 value=64 time=0.0009191166666666666
EXTRACT: control_change channel=3 control=72 value=64 time=0.0009191166666666666
EXTRACT: control_change channel=4 control=72 value=64 time=0.0009191166666666666
EXTRACT: control_change channel=5 control=72 value=64 time=0.0009191166666666666
EXTRACT: control_change channel=6 control=72 value=64 time=0.0009191166666666666
EXTRACT: control_change channel=7 control=72 value=64 time=0.0009191166666666666
EXTRACT: control_change channel=8 control=72 value=64 time=0.0009191166666666666
EXTRACT: control_change channel=9 control=72 value=64 time=0.0009191166666666666
EXTRACT: control_change channel=10 control=72 value=64 time=0.0009191166666666666
EXTRACT: control_change channel=11 control=72 value=64 time=0.0009191166666666666
EXTRACT: control_change channel=1 control=73 value=64 time=0.0055147
EXTRACT: control_change channel=2 control=73 value=64 time=0.0009191166666666666
EXTRACT: control_change channel=3 control=73 value=64 time=0.0009191166666666666
EXTRACT: control_change channel=4 control=73 value=64 time=0.0009191166666666666
EXTRACT: control_change channel=5 control=73 value=64 time=0.0009191166666666666
EXTRACT: control_change channel=6 control=73 value=64 time=0.0009191166666666666
EXTRACT: control_change channel=7 control=73 value=64 time=0.0009191166666666666
EXTRACT: control_change channel=8 control=73 value=64 time=0.0009191166666666666
EXTRACT: control_change channel=9 control=73 value=64 time=0.0009191166666666666
EXTRACT: control_change channel=10 control=73 value=64 time=0.0009191166666666666
EXTRACT: control_change channel=11 control=73 value=64 time=0.0009191166666666666
EXTRACT: control_change channel=1 control=74 value=64 time=0.0055147
EXTRACT: control_change channel=2 control=74 value=64 time=0.0009191166666666666
EXTRACT: control_change channel=3 control=74 value=64 time=0.0009191166666666666
EXTRACT: control_change channel=4 control=74 value=64 time=0.0009191166666666666
EXTRACT: control_change channel=5 control=74 value=64 time=0.0009191166666666666
EXTRACT: control_change channel=6 control=74 value=64 time=0.0009191166666666666
EXTRACT: control_change channel=7 control=74 value=64 time=0.0009191166666666666
EXTRACT: control_change channel=8 control=74 value=64 time=0.0009191166666666666
EXTRACT: control_change channel=9 control=74 value=64 time=0.0009191166666666666
EXTRACT: control_change channel=10 control=74 value=64 time=0.0009191166666666666
EXTRACT: control_change channel=11 control=74 value=64 time=0.0009191166666666666
EXTRACT: control_change channel=5 control=91 value=30 time=0.009191166666666667
EXTRACT: control_change channel=6 control=91 value=73 time=0.0009191166666666666
EXTRACT: control_change channel=7 control=91 value=71 time=0.0009191166666666666
EXTRACT: control_change channel=8 control=91 value=55 time=0.0009191166666666666
EXTRACT: control_change channel=9 control=91 value=55 time=0.0009191166666666666
EXTRACT: control_change channel=10 control=91 value=55 time=0.0009191166666666666
EXTRACT: control_change channel=11 control=91 value=55 time=0.0009191166666666666
EXTRACT: control_change channel=5 control=93 value=0 time=0.009191166666666667
EXTRACT: control_change channel=6 control=93 value=38 time=0.0009191166666666666
EXTRACT: control_change channel=7 control=93 value=31 time=0.0009191166666666666
EXTRACT: control_change channel=8 control=93 value=57 time=0.0009191166666666666
EXTRACT: control_change channel=9 control=93 value=20 time=0.0009191166666666666
EXTRACT: control_change channel=10 control=93 value=20 time=0.0009191166666666666
EXTRACT: control_change channel=11 control=93 value=20 time=0.0009191166666666666
EXTRACT: control_change channel=1 control=101 value=0 time=0.011948516666666666
EXTRACT: control_change channel=1 control=100 value=0 time=0.0009191166666666666
EXTRACT: control_change channel=1 control=6 value=2 time=0.0009191166666666666
EXTRACT: control_change channel=1 control=38 value=0 time=0.0009191166666666666
EXTRACT: control_change channel=2 control=101 value=0 time=0
