EXTRACT: program_change channel=0 program=0 time=0
EXTRACT: note_on channel=0 note=50 velocity=62 time=0
EXTRACT: note_off channel=0 note=50 velocity=0 time=0.29126199999999997
EXTRACT: note_on channel=0 note=57 velocity=62 time=0
EXTRACT: note_on channel=0 note=62 velocity=62 time=0
EXTRACT: note_off channel=0 note=57 velocity=0 time=0.29126199999999997
EXTRACT: note_off channel=0 note=62 velocity=0 time=0
EXTRACT: note_on channel=0 note=50 velocity=62 time=0
EXTRACT: note_off channel=0 note=50 velocity=0 time=0.29126199999999997
EXTRACT: note_on channel=0 note=57 velocity=62 time=0
EXTRACT: note_on channel=0 note=62 velocity=62 time=0
EXTRACT: note_off channel=0 note=57 velocity=0 time=0.29126199999999997
EXTRACT: note_off channel=0 note=62 velocity=0 time=0
EXTRACT: note_on channel=0 note=50 velocity=62 time=0
EXTRACT: note_off channel=0 note=50 velocity=0 time=0.29126199999999997
EXTRACT: note_on channel=0 note=57 velocity=62 time=0
EXTRACT: note_on channel=0 note=62 velocity=62 time=0
EXTRACT: note_off channel=0 note=57 velocity=0 time=0.29126199999999997
EXTRACT: note_off channel=0 note=62 velocity=0 time=0
EXTRACT: note_on channel=0 note=50 velocity=62 time=0
EXTRACT: note_off channel=0 note=50 velocity=0 time=0.29126199999999997
EXTRACT: note_on channel=0 note=57 velocity=62 time=0
EXTRACT: note_on channel=0 note=62 velocity=62 time=0
EXTRACT: note_off channel=0 note=57 velocity=0 time=0.29126199999999997
EXTRACT: note_off channel=0 note=62 velocity=0 time=0
EXTRACT: note_on channel=0 note=54 velocity=62 time=0
EXTRACT: note_off channel=0 note=54 velocity=0 time=0.29126199999999997
EXTRACT: note_on channel=0 note=57 velocity=62 time=0
EXTRACT: note_on channel=0 note=61 velocity=62 time=0
EXTRACT: note_off channel=0 note=57 velocity=0 time=0.29126199999999997
EXTRACT: note_off channel=0 note=61 velocity=0 time=0
EXTRACT: note_on channel=0 note=54 velocity=62 time=0
EXTRACT: note_off channel=0 note=54 velocity=0 time=0.29126199999999997
EXTRACT: note_on channel=0 note=57 velocity=62 time=0
EXTRACT: note_on channel=0 note=61 velocity=62 time=0
EXTRACT: note_off channel=0 note=57 velocity=0 time=0.29126199999999997
EXTRACT: note_off channel=0 note=61 velocity=0 time=0
EXTRACT: note_on channel=0 note=54 velocity=62 time=0
EXTRACT: note_off channel=0 note=54 velocity=0 time=0.29126199999999997
EXTRACT: note_on channel=0 note=57 velocity=62 time=0
EXTRACT: note_on channel=0 note=61 velocity=62 time=0
EXTRACT: note_off channel=0 note=57 velocity=0 time=0.29126199999999997
EXTRACT: note_off channel=0 note=61 velocity=0 time=0
EXTRACT: note_on channel=0 note=54 velocity=62 time=0
EXTRACT: note_off channel=0 note=54 velocity=0 time=0.29126199999999997
EXTRACT: note_on channel=0 note=57 velocity=62 time=0
EXTRACT: note_on channel=0 note=61 velocity=62 time=0
EXTRACT: note_off channel=0 note=57 velocity=0 time=0.29126199999999997
