EXTRACT: program_change channel=0 program=82 time=0
EXTRACT: control_change channel=0 control=7 value=106 time=0
EXTRACT: control_change channel=0 control=10 value=123 time=0
EXTRACT: control_change channel=1 control=7 value=105 time=0
EXTRACT: control_change channel=1 control=10 value=108 time=0
EXTRACT: program_change channel=1 program=1 time=0
EXTRACT: note_on channel=1 note=79 velocity=89 time=0
EXTRACT: note_on channel=1 note=72 velocity=89 time=0
EXTRACT: control_change channel=2 control=7 value=106 time=0
EXTRACT: control_change channel=2 control=10 value=109 time=0
EXTRACT: program_change channel=2 program=1 time=0
EXTRACT: note_on channel=2 note=60 velocity=89 time=0
EXTRACT: program_change channel=3 program=1 time=0
EXTRACT: control_change channel=3 control=7 value=125 time=0
EXTRACT: control_change channel=4 control=7 value=125 time=0
EXTRACT: program_change channel=4 program=1 time=0
EXTRACT: control_change channel=5 control=7 value=127 time=0
EXTRACT: program_change channel=5 program=1 time=0
EXTRACT: program_change channel=6 program=0 time=0
EXTRACT: control_change channel=6 control=7 value=127 time=0
EXTRACT: control_change channel=6 control=10 value=22 time=0
EXTRACT: note_on channel=6 note=79 velocity=89 time=0
EXTRACT: note_on channel=6 note=72 velocity=89 time=0
EXTRACT: program_change channel=7 program=0 time=0
EXTRACT: control_change channel=7 control=7 value=127 time=0
EXTRACT: control_change channel=7 control=10 value=23 time=0
EXTRACT: note_on channel=7 note=60 velocity=89 time=0
EXTRACT: control_change channel=8 control=7 value=102 time=0
EXTRACT: program_change channel=8 program=82 time=0
EXTRACT: control_change channel=8 control=10 value=6 time=0
EXTRACT: note_off channel=1 note=72 velocity=0 time=0.7258065
EXTRACT: note_off channel=1 note=79 velocity=0 time=0
EXTRACT: note_on channel=1 note=79 velocity=89 time=0
EXTRACT: note_on channel=1 note=72 velocity=89 time=0
EXTRACT: note_off channel=6 note=72 velocity=0 time=0
EXTRACT: note_off channel=6 note=79 velocity=0 time=0
EXTRACT: note_on channel=6 note=79 velocity=89 time=0
EXTRACT: note_on channel=6 note=72 velocity=89 time=0
EXTRACT: note_off channel=1 note=72 velocity=0 time=0.48387100000000005
EXTRACT: note_off channel=1 note=79 velocity=0 time=0
EXTRACT: note_on channel=1 note=79 velocity=89 time=0
EXTRACT: note_on channel=1 note=72 velocity=89 time=0
EXTRACT: note_off channel=6 note=72 velocity=0 time=0
EXTRACT: note_off channel=6 note=79 velocity=0 time=0
EXTRACT: note_on channel=6 note=79 velocity=89 time=0
EXTRACT: note_on channel=6 note=72 velocity=89 time=0
EXTRACT: note_off channel=1 note=72 velocity=0 time=0.48387100000000005
EXTRACT: note_off channel=1 note=79 velocity=0 time=0
EXTRACT: note_on channel=1 note=72 velocity=89 time=0
EXTRACT: note_on channel=1 note=80 velocity=89 time=0
EXTRACT: note_off channel=2 note=60 velocity=0 time=0
EXTRACT: note_on channel=2 note=56 velocity=89 time=0
EXTRACT: note_off channel=6 note=72 velocity=0 time=0
EXTRACT: note_off channel=6 note=79 velocity=0 time=0
EXTRACT: note_on channel=6 note=72 velocity=89 time=0
EXTRACT: note_on channel=6 note=80 velocity=89 time=0
EXTRACT: note_off channel=7 note=60 velocity=0 time=0
EXTRACT: note_on channel=7 note=56 velocity=89 time=0
EXTRACT: note_off channel=1 note=80 velocity=0 time=0.7258065
EXTRACT: note_off channel=1 note=72 velocity=0 time=0
EXTRACT: note_on channel=1 note=72 velocity=89 time=0
EXTRACT: note_on channel=1 note=80 velocity=89 time=0
EXTRACT: note_off channel=6 note=80 velocity=0 time=0
EXTRACT: note_off channel=6 note=72 velocity=0 time=0
EXTRACT: note_on channel=6 note=72 velocity=89 time=0
EXTRACT: note_on channel=6 note=80 velocity=89 time=0
EXTRACT: note_off channel=1 note=80 velocity=0 time=0.48387100000000005
EXTRACT: note_off channel=1 note=72 velocity=0 time=0
EXTRACT: note_on channel=1 note=72 velocity=89 time=0
EXTRACT: note_on channel=1 note=80 velocity=89 time=0
EXTRACT: note_off channel=6 note=80 velocity=0 time=0
EXTRACT: note_off channel=6 note=72 velocity=0 time=0
EXTRACT: note_on channel=6 note=72 velocity=89 time=0
EXTRACT: note_on channel=6 note=80 velocity=89 time=0
EXTRACT: note_off channel=1 note=80 velocity=0 time=0.48387100000000005
EXTRACT: note_off channel=1 note=72 velocity=0 time=0
EXTRACT: note_on channel=1 note=79 velocity=89 time=0
EXTRACT: note_on channel=1 note=70 velocity=89 time=0
EXTRACT: note_off channel=2 note=56 velocity=0 time=0
EXTRACT: note_on channel=2 note=51 velocity=89 time=0
EXTRACT: note_off channel=6 note=80 velocity=0 time=0
EXTRACT: note_off channel=6 note=72 velocity=0 time=0
EXTRACT: note_on channel=6 note=79 velocity=89 time=0
EXTRACT: note_on channel=6 note=70 velocity=89 time=0
EXTRACT: note_off channel=7 note=56 velocity=0 time=0
EXTRACT: note_on channel=7 note=51 velocity=89 time=0
EXTRACT: note_off channel=1 note=70 velocity=0 time=0.7258065
EXTRACT: note_off channel=1 note=79 velocity=0 time=0
EXTRACT: note_on channel=1 note=79 velocity=89 time=0
EXTRACT: note_on channel=1 note=70 velocity=89 time=0
EXTRACT: note_off channel=6 note=70 velocity=0 time=0
EXTRACT: note_off channel=6 note=79 velocity=0 time=0
EXTRACT: note_on channel=6 note=79 velocity=89 time=0
EXTRACT: note_on channel=6 note=70 velocity=89 time=0
EXTRACT: note_off channel=1 note=70 velocity=0 time=0.48387100000000005
EXTRACT: note_off channel=1 note=79 velocity=0 time=0
