EXTRACT: program_change channel=11 program=66 time=0
EXTRACT: program_change channel=0 program=25 time=0
EXTRACT: program_change channel=6 program=29 time=0
EXTRACT: program_change channel=4 program=33 time=0
EXTRACT: program_change channel=2 program=1 time=0
EXTRACT: program_change channel=2 program=1 time=0
EXTRACT: program_change channel=8 program=81 time=0
EXTRACT: program_change channel=9 program=0 time=0
EXTRACT: program_change channel=9 program=0 time=0
EXTRACT: program_change channel=9 program=0 time=0
EXTRACT: note_on channel=0 note=66 velocity=72 time=1.9999979999999997
EXTRACT: note_on channel=0 note=61 velocity=72 time=0
EXTRACT: note_on channel=0 note=57 velocity=72 time=0
EXTRACT: note_off channel=0 note=66 velocity=64 time=0.14285699999999998
EXTRACT: note_off channel=0 note=61 velocity=64 time=0
EXTRACT: note_off channel=0 note=57 velocity=64 time=0
EXTRACT: note_on channel=0 note=66 velocity=72 time=0
EXTRACT: note_on channel=0 note=61 velocity=72 time=0
EXTRACT: note_on channel=0 note=57 velocity=72 time=0
EXTRACT: note_off channel=0 note=66 velocity=64 time=0.14285699999999998
EXTRACT: note_off channel=0 note=61 velocity=64 time=0
EXTRACT: note_off channel=0 note=57 velocity=64 time=0
EXTRACT: note_on channel=0 note=66 velocity=72 time=0
EXTRACT: note_on channel=0 note=61 velocity=72 time=0
EXTRACT: note_on channel=0 note=57 velocity=72 time=0
EXTRACT: note_on channel=0 note=52 velocity=72 time=0
EXTRACT: note_on channel=0 note=47 velocity=72 time=0
EXTRACT: note_off channel=0 note=66 velocity=64 time=0.14285699999999998
EXTRACT: note_off channel=0 note=61 velocity=64 time=0
EXTRACT: note_off channel=0 note=57 velocity=64 time=0
EXTRACT: note_off channel=0 note=52 velocity=64 time=0
EXTRACT: note_off channel=0 note=47 velocity=64 time=0
EXTRACT: note_on channel=0 note=62 velocity=72 time=0
EXTRACT: note_on channel=0 note=54 velocity=72 time=0
EXTRACT: note_off channel=0 note=62 velocity=64 time=0.28571399999999997
EXTRACT: note_off channel=0 note=54 velocity=64 time=0
EXTRACT: note_on channel=0 note=66 velocity=72 time=0
EXTRACT: note_on channel=0 note=62 velocity=72 time=0
EXTRACT: note_on channel=0 note=57 velocity=72 time=0
EXTRACT: note_on channel=0 note=54 velocity=72 time=0
EXTRACT: note_on channel=0 note=47 velocity=72 time=0
EXTRACT: note_off channel=0 note=66 velocity=64 time=0.14285699999999998
EXTRACT: note_off channel=0 note=62 velocity=64 time=0
EXTRACT: note_off channel=0 note=57 velocity=64 time=0
EXTRACT: note_off channel=0 note=54 velocity=64 time=0
EXTRACT: note_off channel=0 note=47 velocity=64 time=0
EXTRACT: note_on channel=0 note=66 velocity=72 time=0
EXTRACT: note_on channel=0 note=62 velocity=72 time=0
EXTRACT: note_on channel=0 note=57 velocity=72 time=0
EXTRACT: note_off channel=0 note=66 velocity=64 time=0.14285699999999998
EXTRACT: note_off channel=0 note=62 velocity=64 time=0
EXTRACT: note_off channel=0 note=57 velocity=64 time=0
EXTRACT: note_on channel=0 note=66 velocity=72 time=0
EXTRACT: note_on channel=0 note=62 velocity=72 time=0
EXTRACT: note_on channel=0 note=57 velocity=72 time=0
