EXTRACT: program_change channel=0 program=0 time=0
EXTRACT: control_change channel=0 control=7 value=80 time=0
EXTRACT: note_on channel=0 note=70 velocity=64 time=0
EXTRACT: note_on channel=0 note=74 velocity=64 time=0
EXTRACT: note_on channel=0 note=65 velocity=64 time=0
EXTRACT: program_change channel=1 program=0 time=0
EXTRACT: control_change channel=1 control=7 value=80 time=0
EXTRACT: note_on channel=1 note=58 velocity=64 time=0
EXTRACT: note_on channel=1 note=46 velocity=64 time=0
EXTRACT: note_off channel=0 note=38 velocity=0 time=0
EXTRACT: note_off channel=0 note=54 velocity=0 time=0.005208333333333333
EXTRACT: note_off channel=0 note=35 velocity=0 time=0.005208333333333333
EXTRACT: note_off channel=0 note=47 velocity=0 time=0.005208333333333333
EXTRACT: note_off channel=0 note=35 velocity=0 time=0.005208333333333333
EXTRACT: note_off channel=0 note=33 velocity=0 time=0.005208333333333333
EXTRACT: note_off channel=0 note=52 velocity=0 time=0.005208333333333333
EXTRACT: note_off channel=0 note=52 velocity=0 time=0.005208333333333333
EXTRACT: note_off channel=0 note=45 velocity=0 time=0.005208333333333333
EXTRACT: note_off channel=0 note=35 velocity=0 time=0.005208333333333333
EXTRACT: note_off channel=0 note=33 velocity=0 time=0.005208333333333333
EXTRACT: note_off channel=0 note=38 velocity=0 time=0.005208333333333333
EXTRACT: note_off channel=0 note=54 velocity=0 time=0.005208333333333333
EXTRACT: note_off channel=0 note=52 velocity=0 time=0.005208333333333333
EXTRACT: note_off channel=0 note=32 velocity=0 time=0.005208333333333333
EXTRACT: note_off channel=0 note=44 velocity=0 time=0.005208333333333333
EXTRACT: note_off channel=1 note=58 velocity=64 time=0.171875
EXTRACT: note_on channel=1 note=58 velocity=64 time=0
EXTRACT: note_off channel=1 note=58 velocity=64 time=0.25
EXTRACT: note_on channel=1 note=58 velocity=64 time=0
EXTRACT: note_off channel=0 note=65 velocity=64 time=0.25
EXTRACT: note_off channel=0 note=74 velocity=64 time=0
EXTRACT: note_off channel=0 note=70 velocity=64 time=0
EXTRACT: note_on channel=0 note=74 velocity=64 time=0
EXTRACT: note_on channel=0 note=70 velocity=64 time=0
