EXTRACT: program_change channel=0 program=41 time=0
EXTRACT: control_change channel=0 control=7 value=100 time=0
EXTRACT: control_change channel=0 control=10 value=64 time=0
EXTRACT: program_change channel=1 program=25 time=0
EXTRACT: note_on channel=1 note=62 velocity=80 time=0
EXTRACT: note_on channel=1 note=57 velocity=80 time=0
EXTRACT: note_on channel=1 note=50 velocity=80 time=0
EXTRACT: program_change channel=2 program=120 time=0
EXTRACT: control_change channel=2 control=7 value=100 time=0
EXTRACT: control_change channel=2 control=10 value=64 time=0
EXTRACT: program_change channel=9 program=0 time=0
EXTRACT: control_change channel=9 control=7 value=100 time=0
EXTRACT: control_change channel=9 control=10 value=64 time=0
EXTRACT: program_change channel=9 program=0 time=0
EXTRACT: control_change channel=9 control=7 value=100 time=0
EXTRACT: control_change channel=9 control=10 value=64 time=0
EXTRACT: note_off channel=0 note=92 velocity=0 time=0
EXTRACT: note_off channel=0 note=75 velocity=0 time=0.0015243895833333334
EXTRACT: control_change channel=1 control=7 value=100 time=0.0015243895833333334
EXTRACT: note_off channel=0 note=84 velocity=0 time=0
EXTRACT: note_off channel=0 note=85 velocity=0 time=0.0015243895833333334
EXTRACT: control_change channel=1 control=10 value=64 time=0.0015243895833333334
EXTRACT: note_off channel=0 note=72 velocity=0 time=0
EXTRACT: note_off channel=0 note=82 velocity=0 time=0.0015243895833333334
EXTRACT: control_change channel=0 control=91 value=30 time=0.0015243895833333334
EXTRACT: control_change channel=1 control=91 value=30 time=0
EXTRACT: control_change channel=2 control=91 value=30 time=0
EXTRACT: control_change channel=9 control=91 value=30 time=0
EXTRACT: control_change channel=9 control=91 value=30 time=0
EXTRACT: note_off channel=0 note=84 velocity=0 time=0
EXTRACT: note_off channel=0 note=87 velocity=0 time=0.0015243895833333334
EXTRACT: control_change channel=0 control=93 value=30 time=0.0015243895833333334
EXTRACT: control_change channel=1 control=93 value=30 time=0
EXTRACT: control_change channel=2 control=93 value=30 time=0
EXTRACT: control_change channel=9 control=93 value=30 time=0
EXTRACT: control_change channel=9 control=93 value=30 time=0
EXTRACT: note_off channel=0 note=73 velocity=0 time=0
EXTRACT: note_off channel=0 note=94 velocity=0 time=0.0015243895833333334
EXTRACT: note_off channel=0 note=84 velocity=0 time=0.0015243895833333334
EXTRACT: note_off channel=0 note=87 velocity=0 time=0.0015243895833333334
EXTRACT: note_off channel=0 note=78 velocity=0 time=0.0015243895833333334
EXTRACT: note_off channel=0 note=84 velocity=0 time=0.0015243895833333334
EXTRACT: note_off channel=0 note=90 velocity=0 time=0.0015243895833333334
EXTRACT: note_off channel=0 note=73 velocity=0 time=0.0015243895833333334
EXTRACT: note_off channel=0 note=92 velocity=0 time=0.24085355416666668
EXTRACT: note_off channel=0 note=75 velocity=0 time=0.06859753125
EXTRACT: note_off channel=0 note=85 velocity=0 time=0.22103648958333333
EXTRACT: note_off channel=0 note=84 velocity=0 time=0.0015243895833333334
EXTRACT: note_off channel=0 note=72 velocity=0 time=0.14329262083333333
EXTRACT: note_on channel=1 note=50 velocity=0 time=0.03201218125
EXTRACT: note_on channel=1 note=57 velocity=0 time=0
EXTRACT: note_on channel=1 note=62 velocity=0 time=0
EXTRACT: note_on channel=2 note=67 velocity=25 time=0.0015243895833333334
EXTRACT: note_on channel=2 note=62 velocity=25 time=0
EXTRACT: note_on channel=9 note=70 velocity=80 time=0
EXTRACT: note_off channel=0 note=82 velocity=0 time=0.1463414
EXTRACT: note_off channel=0 note=84 velocity=0 time=0.09908532291666666
EXTRACT: note_on channel=2 note=62 velocity=0 time=0.1189023875
EXTRACT: note_on channel=2 note=67 velocity=0 time=0
EXTRACT: note_on channel=9 note=70 velocity=0 time=0
EXTRACT: note_on channel=1 note=64 velocity=80 time=0.0015243895833333334
EXTRACT: note_on channel=1 note=62 velocity=80 time=0
EXTRACT: note_on channel=1 note=57 velocity=80 time=0
EXTRACT: note_on channel=1 note=50 velocity=80 time=0
EXTRACT: note_on channel=1 note=42 velocity=80 time=0
EXTRACT: note_off channel=0 note=87 velocity=0 time=0.11280482916666668
EXTRACT: note_off channel=0 note=73 velocity=0 time=0.091463375
EXTRACT: note_off channel=0 note=94 velocity=0 time=0.3018291375
EXTRACT: note_off channel=0 note=84 velocity=0 time=0.39024373333333334
EXTRACT: note_off channel=0 note=87 velocity=0 time=0.1737804125
EXTRACT: note_on channel=1 note=42 velocity=0 time=0.025914622916666668
EXTRACT: note_on channel=1 note=57 velocity=0 time=0
EXTRACT: note_on channel=1 note=64 velocity=0 time=0
EXTRACT: note_on channel=1 note=62 velocity=0 time=0
EXTRACT: note_on channel=1 note=50 velocity=0 time=0
EXTRACT: note_on channel=9 note=70 velocity=80 time=0.0015243895833333334
EXTRACT: note_off channel=0 note=78 velocity=0 time=0.21341454166666668
EXTRACT: note_off channel=0 note=90 velocity=0 time=0.06249997291666667
EXTRACT: note_off channel=0 note=84 velocity=0 time=0.021341454166666666
EXTRACT: note_on channel=9 note=70 velocity=0 time=0.06707314166666667
EXTRACT: note_on channel=2 note=69 velocity=25 time=0.0015243895833333334
EXTRACT: note_on channel=2 note=60 velocity=25 time=0
EXTRACT: note_off channel=0 note=73 velocity=0 time=0.11280482916666668
EXTRACT: note_on channel=2 note=60 velocity=0 time=0.25152428125
EXTRACT: note_on channel=2 note=69 velocity=0 time=0
EXTRACT: note_on channel=1 note=59 velocity=80 time=0.0015243895833333334
EXTRACT: note_on channel=1 note=55 velocity=80 time=0
EXTRACT: note_on channel=1 note=50 velocity=80 time=0
EXTRACT: note_on channel=1 note=43 velocity=80 time=0
EXTRACT: note_on channel=1 note=43 velocity=0 time=0.7301826104166667
EXTRACT: note_on channel=1 note=59 velocity=0 time=0
EXTRACT: note_on channel=1 note=55 velocity=0 time=0
EXTRACT: note_on channel=1 note=50 velocity=0 time=0
EXTRACT: note_on channel=2 note=65 velocity=25 time=0.0015243895833333334
EXTRACT: note_on channel=2 note=62 velocity=25 time=0
EXTRACT: note_on channel=9 note=70 velocity=80 time=0
EXTRACT: note_on channel=2 note=62 velocity=0 time=0.36432911041666666
EXTRACT: note_on channel=2 note=65 velocity=0 time=0
EXTRACT: note_on channel=9 note=70 velocity=0 time=0
EXTRACT: note_on channel=1 note=61 velocity=80 time=0.0015243895833333334
EXTRACT: note_on channel=1 note=57 velocity=80 time=0
EXTRACT: note_on channel=1 note=52 velocity=80 time=0
EXTRACT: note_on channel=1 note=45 velocity=80 time=0
EXTRACT: note_on channel=2 note=57 velocity=25 time=0.731707
EXTRACT: note_on channel=2 note=57 velocity=0 time=0.18140236041666666
EXTRACT: note_on channel=1 note=45 velocity=0 time=0.18292675
EXTRACT: note_on channel=1 note=61 velocity=0 time=0
EXTRACT: note_on channel=1 note=57 velocity=0 time=0
EXTRACT: note_on channel=1 note=52 velocity=0 time=0
EXTRACT: note_on channel=1 note=57 velocity=80 time=0.0015243895833333334
EXTRACT: note_on channel=1 note=57 velocity=0 time=0.18140236041666666
EXTRACT: note_on channel=1 note=59 velocity=80 time=0.0015243895833333334
EXTRACT: note_on channel=2 note=69 velocity=25 time=0.18292675
EXTRACT: note_on channel=2 note=65 velocity=25 time=0
EXTRACT: note_on channel=1 note=59 velocity=0 time=0.36432911041666666
EXTRACT: note_on channel=2 note=65 velocity=0 time=0
EXTRACT: note_on channel=2 note=69 velocity=0 time=0
EXTRACT: note_on channel=1 note=62 velocity=80 time=0.0015243895833333334
EXTRACT: note_on channel=1 note=57 velocity=80 time=0
EXTRACT: note_on channel=1 note=50 velocity=80 time=0
EXTRACT: note_on channel=1 note=50 velocity=0 time=0.7301826104166667
EXTRACT: note_on channel=1 note=57 velocity=0 time=0
EXTRACT: note_on channel=1 note=62 velocity=0 time=0
EXTRACT: note_on channel=2 note=67 velocity=25 time=0.0015243895833333334
EXTRACT: note_on channel=2 note=62 velocity=25 time=0
EXTRACT: note_on channel=9 note=70 velocity=80 time=0
EXTRACT: note_on channel=2 note=62 velocity=0 time=0.36432911041666666
EXTRACT: note_on channel=2 note=67 velocity=0 time=0
EXTRACT: note_on channel=9 note=70 velocity=0 time=0
EXTRACT: note_on channel=1 note=64 velocity=80 time=0.0015243895833333334
EXTRACT: note_on channel=1 note=62 velocity=80 time=0
EXTRACT: note_on channel=1 note=57 velocity=80 time=0
EXTRACT: note_on channel=1 note=50 velocity=80 time=0
EXTRACT: note_on channel=1 note=42 velocity=80 time=0
EXTRACT: note_on channel=1 note=42 velocity=0 time=1.0960361104166667
EXTRACT: note_on channel=1 note=57 velocity=0 time=0
EXTRACT: note_on channel=1 note=64 velocity=0 time=0
EXTRACT: note_on channel=1 note=62 velocity=0 time=0
EXTRACT: note_on channel=1 note=50 velocity=0 time=0
EXTRACT: note_on channel=9 note=70 velocity=80 time=0.0015243895833333334
EXTRACT: note_on channel=9 note=70 velocity=0 time=0.36432911041666666
EXTRACT: note_on channel=2 note=69 velocity=25 time=0.0015243895833333334
EXTRACT: note_on channel=2 note=60 velocity=25 time=0
EXTRACT: note_on channel=2 note=60 velocity=0 time=0.36432911041666666
EXTRACT: note_on channel=2 note=69 velocity=0 time=0
EXTRACT: note_on channel=1 note=59 velocity=80 time=0.0015243895833333334
EXTRACT: note_on channel=1 note=55 velocity=80 time=0
EXTRACT: note_on channel=1 note=50 velocity=80 time=0
EXTRACT: note_on channel=1 note=43 velocity=80 time=0
EXTRACT: note_on channel=1 note=43 velocity=0 time=0.7301826104166667
