EXTRACT: program_change channel=1 program=35 time=0
EXTRACT: control_change channel=1 control=7 value=95 time=0
EXTRACT: control_change channel=1 control=10 value=64 time=0
EXTRACT: control_change channel=1 control=121 value=0 time=0
EXTRACT: control_change channel=1 control=123 value=0 time=0
EXTRACT: control_change channel=1 control=91 value=25 time=0
EXTRACT: control_change channel=1 control=93 value=0 time=0
EXTRACT: control_change channel=1 control=64 value=0 time=0
EXTRACT: program_change channel=2 program=0 time=0
EXTRACT: control_change channel=2 control=7 value=85 time=0
EXTRACT: control_change channel=2 control=10 value=54 time=0
EXTRACT: control_change channel=2 control=121 value=0 time=0
EXTRACT: control_change channel=2 control=123 value=0 time=0
EXTRACT: control_change channel=2 control=91 value=45 time=0
EXTRACT: control_change channel=2 control=93 value=30 time=0
EXTRACT: control_change channel=2 control=64 value=0 time=0
EXTRACT: program_change channel=3 program=24 time=0
EXTRACT: control_change channel=3 control=7 value=80 time=0
EXTRACT: control_change channel=3 control=10 value=74 time=0
EXTRACT: control_change channel=3 control=121 value=0 time=0
EXTRACT: control_change channel=3 control=123 value=0 time=0
EXTRACT: control_change channel=3 control=91 value=25 time=0
EXTRACT: control_change channel=3 control=93 value=40 time=0
EXTRACT: control_change channel=3 control=64 value=0 time=0
EXTRACT: program_change channel=4 program=26 time=0
EXTRACT: control_change channel=4 control=7 value=95 time=0
EXTRACT: control_change channel=4 control=10 value=64 time=0
EXTRACT: control_change channel=4 control=121 value=0 time=0
EXTRACT: control_change channel=4 control=123 value=0 time=0
EXTRACT: control_change channel=4 control=1 value=8 time=0
EXTRACT: control_change channel=4 control=91 value=87 time=0
EXTRACT: control_change channel=4 control=93 value=43 time=0
EXTRACT: control_change channel=4 control=5 value=127 time=0
EXTRACT: control_change channel=4 control=65 value=0 time=0
EXTRACT: program_change channel=5 program=0 time=0
EXTRACT: control_change channel=5 control=7 value=86 time=0
EXTRACT: control_change channel=5 control=10 value=49 time=0
EXTRACT: control_change channel=5 control=121 value=0 time=0
EXTRACT: control_change channel=5 control=123 value=0 time=0
EXTRACT: control_change channel=5 control=1 value=0 time=0
EXTRACT: control_change channel=5 control=91 value=40 time=0
EXTRACT: control_change channel=5 control=93 value=40 time=0
EXTRACT: program_change channel=6 program=0 time=0
EXTRACT: control_change channel=6 control=7 value=84 time=0
EXTRACT: control_change channel=6 control=10 value=44 time=0
EXTRACT: control_change channel=6 control=121 value=0 time=0
EXTRACT: control_change channel=6 control=123 value=0 time=0
EXTRACT: control_change channel=6 control=91 value=40 time=0
EXTRACT: control_change channel=6 control=93 value=40 time=0
EXTRACT: program_change channel=7 program=33 time=0
EXTRACT: control_change channel=7 control=7 value=96 time=0
EXTRACT: control_change channel=7 control=10 value=69 time=0
EXTRACT: control_change channel=7 control=121 value=0 time=0
EXTRACT: control_change channel=7 control=123 value=0 time=0
EXTRACT: control_change channel=7 control=91 value=40 time=0
EXTRACT: program_change channel=8 program=11 time=0
EXTRACT: control_change channel=8 control=7 value=73 time=0
EXTRACT: control_change channel=8 control=10 value=44 time=0
EXTRACT: program_change channel=9 program=32 time=0
EXTRACT: control_change channel=9 control=7 value=70 time=0
EXTRACT: control_change channel=9 control=10 value=59 time=0
EXTRACT: control_change channel=9 control=121 value=0 time=0
EXTRACT: control_change channel=9 control=123 value=0 time=0
EXTRACT: control_change channel=9 control=91 value=10 time=0
EXTRACT: control_change channel=9 control=93 value=5 time=0
EXTRACT: program_change channel=10 program=50 time=0
EXTRACT: control_change channel=10 control=7 value=76 time=0
EXTRACT: control_change channel=10 control=10 value=79 time=0
EXTRACT: control_change channel=10 control=121 value=0 time=0
EXTRACT: control_change channel=10 control=123 value=0 time=0
EXTRACT: control_change channel=10 control=91 value=40 time=0
EXTRACT: control_change channel=10 control=93 value=40 time=0
EXTRACT: program_change channel=11 program=50 time=0
EXTRACT: control_change channel=11 control=7 value=78 time=0
EXTRACT: control_change channel=11 control=10 value=49 time=0
EXTRACT: control_change channel=11 control=121 value=0 time=0
EXTRACT: control_change channel=11 control=123 value=0 time=0
EXTRACT: control_change channel=11 control=91 value=40 time=0
EXTRACT: control_change channel=11 control=93 value=40 time=0
EXTRACT: note_on channel=1 note=36 velocity=82 time=2.580644
EXTRACT: note_on channel=7 note=36 velocity=85 time=0
EXTRACT: note_on channel=9 note=49 velocity=40 time=0
EXTRACT: note_on channel=9 note=49 velocity=0 time=0.005376341666666667
EXTRACT: note_on channel=2 note=64 velocity=63 time=0.005376341666666667
EXTRACT: note_on channel=2 note=62 velocity=63 time=0
EXTRACT: note_on channel=2 note=59 velocity=63 time=0
EXTRACT: note_on channel=2 note=67 velocity=63 time=0
EXTRACT: note_on channel=3 note=48 velocity=50 time=0
EXTRACT: note_on channel=3 note=59 velocity=70 time=0.005376341666666667
EXTRACT: note_on channel=3 note=52 velocity=48 time=0
EXTRACT: note_on channel=3 note=62 velocity=70 time=0.016129025
EXTRACT: note_on channel=2 note=67 velocity=0 time=0.1827956166666667
EXTRACT: note_on channel=2 note=64 velocity=0 time=0
EXTRACT: note_on channel=2 note=62 velocity=0 time=0
EXTRACT: note_on channel=2 note=59 velocity=0 time=0
EXTRACT: control_change channel=3 control=64 value=127 time=0.021505366666666668
EXTRACT: note_on channel=3 note=59 velocity=0 time=0.03763439166666667
EXTRACT: note_on channel=3 note=52 velocity=0 time=0.03225805
EXTRACT: note_on channel=3 note=62 velocity=0 time=0.005376341666666667
EXTRACT: note_on channel=5 note=76 velocity=74 time=0.010752683333333334
EXTRACT: note_on channel=5 note=84 velocity=74 time=0
EXTRACT: note_on channel=9 note=38 velocity=38 time=0
EXTRACT: note_on channel=10 note=76 velocity=78 time=0
EXTRACT: note_on channel=10 note=84 velocity=78 time=0
EXTRACT: note_on channel=9 note=38 velocity=0 time=0.005376341666666667
EXTRACT: note_on channel=2 note=64 velocity=46 time=0.30645147500000003
EXTRACT: note_on channel=2 note=62 velocity=46 time=0
EXTRACT: note_on channel=2 note=59 velocity=46 time=0
EXTRACT: note_on channel=2 note=67 velocity=46 time=0
EXTRACT: note_on channel=9 note=38 velocity=58 time=0.010752683333333334
EXTRACT: note_on channel=9 note=42 velocity=48 time=0
EXTRACT: note_on channel=9 note=42 velocity=0 time=0.005376341666666667
EXTRACT: note_on channel=9 note=38 velocity=0 time=0
EXTRACT: note_on channel=3 note=52 velocity=49 time=0.005376341666666667
EXTRACT: note_on channel=3 note=59 velocity=59 time=0.010752683333333334
EXTRACT: note_on channel=3 note=62 velocity=54 time=0.010752683333333334
EXTRACT: note_on channel=2 note=67 velocity=0 time=0.18817195833333333
