EXTRACT: program_change channel=0 program=0 time=0
EXTRACT: control_change channel=0 control=91 value=60 time=0
EXTRACT: control_change channel=0 control=10 value=64 time=0
EXTRACT: control_change channel=0 control=7 value=100 time=0
EXTRACT: control_change channel=0 control=91 value=60 time=0
EXTRACT: control_change channel=0 control=10 value=64 time=0
EXTRACT: control_change channel=0 control=7 value=100 time=0
EXTRACT: control_change channel=0 control=91 value=60 time=0
EXTRACT: control_change channel=0 control=10 value=64 time=0
EXTRACT: control_change channel=0 control=7 value=100 time=0
EXTRACT: control_change channel=0 control=91 value=60 time=0
EXTRACT: control_change channel=0 control=10 value=64 time=0
EXTRACT: control_change channel=0 control=7 value=100 time=0
EXTRACT: control_change channel=0 control=91 value=60 time=0
EXTRACT: control_change channel=0 control=10 value=64 time=0
EXTRACT: control_change channel=0 control=7 value=100 time=0
EXTRACT: control_change channel=0 control=91 value=60 time=0
EXTRACT: control_change channel=0 control=10 value=64 time=0
EXTRACT: control_change channel=0 control=7 value=100 time=0
EXTRACT: control_change channel=0 control=91 value=60 time=0
EXTRACT: control_change channel=0 control=10 value=64 time=0
EXTRACT: control_change channel=0 control=7 value=100 time=0
EXTRACT: control_change channel=0 control=121 value=0 time=0
EXTRACT: note_on channel=0 note=66 velocity=69 time=0
EXTRACT: note_on channel=0 note=69 velocity=69 time=0
EXTRACT: note_on channel=0 note=72 velocity=69 time=0
EXTRACT: program_change channel=0 program=0 time=0
EXTRACT: control_change channel=0 control=91 value=60 time=0
EXTRACT: control_change channel=0 control=10 value=64 time=0
EXTRACT: control_change channel=0 control=7 value=100 time=0
EXTRACT: control_change channel=0 control=91 value=60 time=0
EXTRACT: control_change channel=0 control=10 value=64 time=0
EXTRACT: control_change channel=0 control=7 value=100 time=0
EXTRACT: control_change channel=0 control=91 value=60 time=0
EXTRACT: control_change channel=0 control=10 value=64 time=0
EXTRACT: control_change channel=0 control=7 value=100 time=0
EXTRACT: control_change channel=0 control=91 value=60 time=0
EXTRACT: control_change channel=0 control=10 value=64 time=0
EXTRACT: control_change channel=0 control=7 value=100 time=0
EXTRACT: control_change channel=0 control=91 value=60 time=0
EXTRACT: control_change channel=0 control=10 value=64 time=0
EXTRACT: control_change channel=0 control=7 value=100 time=0
EXTRACT: control_change channel=0 control=91 value=60 time=0
EXTRACT: control_change channel=0 control=10 value=64 time=0
EXTRACT: control_change channel=0 control=7 value=100 time=0
EXTRACT: control_change channel=0 control=91 value=60 time=0
EXTRACT: control_change channel=0 control=10 value=64 time=0
EXTRACT: control_change channel=0 control=7 value=100 time=0
EXTRACT: control_change channel=0 control=121 value=0 time=0
EXTRACT: note_on channel=0 note=50 velocity=69 time=0
EXTRACT: note_on channel=0 note=66 velocity=0 time=1.621622
EXTRACT: note_on channel=0 note=69 velocity=0 time=0
EXTRACT: note_on channel=0 note=72 velocity=0 time=0
EXTRACT: note_on channel=0 note=65 velocity=75 time=0
EXTRACT: note_on channel=0 note=69 velocity=75 time=0
EXTRACT: note_on channel=0 note=72 velocity=75 time=0
EXTRACT: note_on channel=0 note=50 velocity=0 time=0
EXTRACT: note_on channel=0 note=50 velocity=78 time=0
EXTRACT: note_on channel=0 note=65 velocity=0 time=1.621622
EXTRACT: note_on channel=0 note=69 velocity=0 time=0
EXTRACT: note_on channel=0 note=72 velocity=0 time=0
EXTRACT: note_on channel=0 note=64 velocity=75 time=0
EXTRACT: note_on channel=0 note=67 velocity=75 time=0
EXTRACT: note_on channel=0 note=72 velocity=75 time=0
EXTRACT: note_on channel=0 note=50 velocity=0 time=0
EXTRACT: note_on channel=0 note=48 velocity=76 time=0
