EXTRACT: program_change channel=1 program=64 time=0
EXTRACT: control_change channel=1 control=121 value=0 time=0
EXTRACT: control_change channel=1 control=64 value=0 time=0
EXTRACT: control_change channel=1 control=91 value=48 time=0
EXTRACT: control_change channel=1 control=10 value=38 time=0
EXTRACT: control_change channel=1 control=7 value=121 time=0
EXTRACT: note_on channel=0 note=56 velocity=90 time=0
EXTRACT: program_change channel=0 program=0 time=0
EXTRACT: control_change channel=0 control=121 value=0 time=0
EXTRACT: control_change channel=0 control=64 value=0 time=0
EXTRACT: control_change channel=0 control=91 value=48 time=0
EXTRACT: control_change channel=0 control=10 value=51 time=0
EXTRACT: control_change channel=0 control=7 value=101 time=0
EXTRACT: note_on channel=0 note=57 velocity=90 time=0
EXTRACT: note_off channel=0 note=56 velocity=0 time=0
EXTRACT: control_change channel=0 control=121 value=0 time=0
EXTRACT: control_change channel=0 control=64 value=0 time=0
EXTRACT: control_change channel=0 control=91 value=48 time=0
EXTRACT: control_change channel=0 control=10 value=51 time=0
EXTRACT: control_change channel=0 control=7 value=101 time=0
EXTRACT: note_on channel=0 note=41 velocity=78 time=0
EXTRACT: note_on channel=0 note=53 velocity=78 time=0
EXTRACT: program_change channel=2 program=26 time=0
EXTRACT: control_change channel=2 control=121 value=0 time=0
EXTRACT: control_change channel=2 control=64 value=0 time=0
EXTRACT: control_change channel=2 control=91 value=48 time=0
EXTRACT: control_change channel=2 control=10 value=64 time=0
EXTRACT: control_change channel=2 control=7 value=100 time=0
EXTRACT: program_change channel=3 program=88 time=0
EXTRACT: control_change channel=3 control=121 value=0 time=0
EXTRACT: control_change channel=3 control=64 value=0 time=0
EXTRACT: control_change channel=3 control=91 value=48 time=0
EXTRACT: control_change channel=3 control=10 value=51 time=0
EXTRACT: control_change channel=3 control=7 value=61 time=0
EXTRACT: note_on channel=3 note=53 velocity=50 time=0
EXTRACT: note_on channel=3 note=65 velocity=50 time=0
EXTRACT: note_off channel=0 note=57 velocity=0 time=0.365853
EXTRACT: note_on channel=0 note=60 velocity=90 time=0
EXTRACT: note_off channel=0 note=60 velocity=0 time=0.365853
EXTRACT: note_on channel=0 note=60 velocity=90 time=0
EXTRACT: note_off channel=0 note=60 velocity=0 time=0.365853
EXTRACT: note_on channel=0 note=57 velocity=90 time=0
EXTRACT: note_off channel=0 note=57 velocity=0 time=0.365853
EXTRACT: note_on channel=0 note=61 velocity=90 time=0
EXTRACT: note_off channel=0 note=41 velocity=0 time=0
EXTRACT: note_off channel=0 note=53 velocity=0 time=0
EXTRACT: note_on channel=0 note=45 velocity=78 time=0
EXTRACT: note_on channel=0 note=52 velocity=78 time=0
EXTRACT: note_on channel=0 note=57 velocity=78 time=0
EXTRACT: note_off channel=3 note=53 velocity=0 time=0
EXTRACT: note_off channel=3 note=65 velocity=0 time=0
EXTRACT: note_on channel=3 note=57 velocity=50 time=0
EXTRACT: note_on channel=3 note=64 velocity=50 time=0
EXTRACT: note_on channel=3 note=69 velocity=50 time=0
EXTRACT: note_off channel=0 note=61 velocity=0 time=0.365853
EXTRACT: note_on channel=0 note=61 velocity=90 time=0
EXTRACT: note_off channel=0 note=45 velocity=0 time=0
EXTRACT: note_off channel=0 note=52 velocity=0 time=0
EXTRACT: note_off channel=0 note=57 velocity=0 time=0
EXTRACT: note_on channel=0 note=45 velocity=78 time=0
EXTRACT: note_on channel=0 note=52 velocity=78 time=0
EXTRACT: note_on channel=0 note=57 velocity=78 time=0
EXTRACT: note_off channel=0 note=61 velocity=0 time=0.731706
EXTRACT: note_on channel=0 note=62 velocity=90 time=0
EXTRACT: note_off channel=0 note=45 velocity=0 time=0
EXTRACT: note_off channel=0 note=52 velocity=0 time=0
EXTRACT: note_off channel=0 note=57 velocity=0 time=0
EXTRACT: note_on channel=0 note=50 velocity=78 time=0
EXTRACT: note_on channel=0 note=53 velocity=78 time=0
EXTRACT: note_on channel=0 note=57 velocity=78 time=0
EXTRACT: note_off channel=3 note=57 velocity=0 time=0
EXTRACT: note_off channel=3 note=64 velocity=0 time=0
EXTRACT: note_off channel=3 note=69 velocity=0 time=0
EXTRACT: note_on channel=3 note=62 velocity=50 time=0
EXTRACT: note_on channel=3 note=65 velocity=50 time=0
EXTRACT: note_on channel=3 note=69 velocity=50 time=0
EXTRACT: note_off channel=0 note=62 velocity=0 time=1.463412
EXTRACT: note_on channel=0 note=62 velocity=90 time=0
EXTRACT: note_off channel=0 note=50 velocity=0 time=0
EXTRACT: note_off channel=0 note=53 velocity=0 time=0
EXTRACT: note_off channel=0 note=57 velocity=0 time=0
EXTRACT: note_on channel=0 note=46 velocity=78 time=0
EXTRACT: note_on channel=0 note=53 velocity=78 time=0
EXTRACT: note_on channel=0 note=57 velocity=78 time=0
EXTRACT: note_off channel=3 note=62 velocity=0 time=0
EXTRACT: note_off channel=3 note=65 velocity=0 time=0
EXTRACT: note_off channel=3 note=69 velocity=0 time=0
EXTRACT: note_on channel=3 note=58 velocity=50 time=0
EXTRACT: note_on channel=3 note=65 velocity=50 time=0
EXTRACT: note_on channel=3 note=69 velocity=50 time=0
EXTRACT: note_on channel=0 note=56 velocity=90 time=1.7637163374999998
EXTRACT: note_off channel=0 note=62 velocity=0 time=0.0655486625
EXTRACT: note_on channel=0 note=57 velocity=90 time=0
EXTRACT: note_off channel=0 note=56 velocity=0 time=0
EXTRACT: note_off channel=0 note=46 velocity=0 time=0
EXTRACT: note_off channel=0 note=53 velocity=0 time=0
EXTRACT: note_off channel=0 note=57 velocity=0 time=0
EXTRACT: note_on channel=0 note=41 velocity=78 time=0
EXTRACT: note_on channel=0 note=53 velocity=78 time=0
EXTRACT: note_off channel=3 note=58 velocity=0 time=0
EXTRACT: note_off channel=3 note=65 velocity=0 time=0
EXTRACT: note_off channel=3 note=69 velocity=0 time=0
EXTRACT: note_on channel=3 note=53 velocity=50 time=0
EXTRACT: note_on channel=3 note=65 velocity=50 time=0
EXTRACT: note_off channel=0 note=57 velocity=0 time=0.365853
EXTRACT: note_on channel=0 note=60 velocity=90 time=0
EXTRACT: note_off channel=0 note=60 velocity=0 time=0.365853
EXTRACT: note_on channel=0 note=60 velocity=90 time=0
EXTRACT: note_off channel=0 note=60 velocity=0 time=0.365853
EXTRACT: note_on channel=0 note=57 velocity=90 time=0
EXTRACT: note_off channel=0 note=57 velocity=0 time=0.365853
EXTRACT: note_on channel=0 note=61 velocity=90 time=0
EXTRACT: note_off channel=0 note=41 velocity=0 time=0
EXTRACT: note_off channel=0 note=53 velocity=0 time=0
EXTRACT: note_on channel=0 note=45 velocity=78 time=0
