EXTRACT: program_change channel=0 program=25 time=0
EXTRACT: note_on channel=0 note=40 velocity=80 time=0
EXTRACT: program_change channel=2 program=32 time=0
EXTRACT: note_on channel=2 note=28 velocity=80 time=0
EXTRACT: program_change channel=4 program=52 time=0
EXTRACT: program_change channel=6 program=32 time=0
EXTRACT: note_on channel=6 note=28 velocity=80 time=0
EXTRACT: note_off channel=0 note=40 velocity=64 time=0.22058799999999998
EXTRACT: note_on channel=0 note=55 velocity=80 time=0
EXTRACT: note_off channel=0 note=55 velocity=64 time=0.22058799999999998
EXTRACT: note_on channel=0 note=62 velocity=80 time=0
EXTRACT: note_off channel=0 note=62 velocity=64 time=0.22058799999999998
EXTRACT: note_on channel=0 note=67 velocity=80 time=0
EXTRACT: note_off channel=0 note=67 velocity=64 time=0.22058799999999998
EXTRACT: note_on channel=0 note=62 velocity=80 time=0.22058799999999998
EXTRACT: note_off channel=0 note=62 velocity=64 time=0.22058799999999998
EXTRACT: note_on channel=0 note=55 velocity=80 time=0
EXTRACT: note_off channel=0 note=55 velocity=64 time=0.44117599999999996
EXTRACT: note_on channel=0 note=50 velocity=80 time=0
EXTRACT: note_off channel=2 note=28 velocity=64 time=0
EXTRACT: note_on channel=2 note=38 velocity=80 time=0
EXTRACT: note_off channel=6 note=28 velocity=64 time=0
EXTRACT: note_on channel=6 note=38 velocity=80 time=0
EXTRACT: note_off channel=0 note=50 velocity=64 time=0.22058799999999998
EXTRACT: note_on channel=0 note=55 velocity=80 time=0
EXTRACT: note_off channel=0 note=55 velocity=64 time=0.22058799999999998
EXTRACT: note_on channel=0 note=62 velocity=80 time=0
EXTRACT: note_off channel=0 note=62 velocity=64 time=0.22058799999999998
EXTRACT: note_on channel=0 note=67 velocity=80 time=0
EXTRACT: note_off channel=0 note=67 velocity=64 time=0.22058799999999998
EXTRACT: note_on channel=0 note=62 velocity=80 time=0.22058799999999998
EXTRACT: note_off channel=0 note=62 velocity=64 time=0.22058799999999998
EXTRACT: note_on channel=0 note=55 velocity=80 time=0
EXTRACT: note_off channel=0 note=55 velocity=64 time=0.44117599999999996
EXTRACT: note_on channel=0 note=48 velocity=80 time=0
EXTRACT: note_off channel=2 note=38 velocity=64 time=0
EXTRACT: note_on channel=2 note=36 velocity=80 time=0
EXTRACT: note_off channel=6 note=38 velocity=64 time=0
EXTRACT: note_on channel=6 note=36 velocity=80 time=0
EXTRACT: note_off channel=0 note=48 velocity=64 time=0.22058799999999998
EXTRACT: note_on channel=0 note=55 velocity=80 time=0
EXTRACT: note_off channel=0 note=55 velocity=64 time=0.22058799999999998
EXTRACT: note_on channel=0 note=62 velocity=80 time=0
EXTRACT: note_off channel=0 note=62 velocity=64 time=0.22058799999999998
EXTRACT: note_on channel=0 note=67 velocity=80 time=0
EXTRACT: note_off channel=0 note=67 velocity=64 time=0.22058799999999998
EXTRACT: note_on channel=0 note=62 velocity=80 time=0.22058799999999998
EXTRACT: note_off channel=0 note=62 velocity=64 time=0.22058799999999998
EXTRACT: note_on channel=0 note=55 velocity=80 time=0
EXTRACT: note_off channel=0 note=55 velocity=64 time=0.44117599999999996
EXTRACT: note_on channel=0 note=50 velocity=80 time=0
EXTRACT: note_off channel=2 note=36 velocity=64 time=0
EXTRACT: note_on channel=2 note=38 velocity=80 time=0
EXTRACT: note_off channel=6 note=36 velocity=64 time=0
EXTRACT: note_on channel=6 note=38 velocity=80 time=0
EXTRACT: note_off channel=0 note=50 velocity=64 time=0.22058799999999998
EXTRACT: note_on channel=0 note=55 velocity=80 time=0
EXTRACT: note_off channel=0 note=55 velocity=64 time=0.22058799999999998
EXTRACT: note_on channel=0 note=62 velocity=80 time=0
EXTRACT: note_off channel=0 note=62 velocity=64 time=0.22058799999999998
EXTRACT: note_on channel=0 note=67 velocity=80 time=0
EXTRACT: note_off channel=0 note=67 velocity=64 time=0.22058799999999998
EXTRACT: note_on channel=0 note=66 velocity=80 time=0.44117599999999996
EXTRACT: note_on channel=0 note=62 velocity=80 time=0
EXTRACT: note_off channel=0 note=66 velocity=64 time=0.44117599999999996
EXTRACT: note_off channel=0 note=62 velocity=64 time=0
EXTRACT: note_on channel=0 note=40 velocity=80 time=0
EXTRACT: note_off channel=2 note=38 velocity=64 time=0
EXTRACT: note_on channel=2 note=28 velocity=80 time=0
EXTRACT: note_off channel=6 note=38 velocity=64 time=0
EXTRACT: note_on channel=6 note=28 velocity=80 time=0
EXTRACT: note_off channel=0 note=40 velocity=64 time=0.22058799999999998
EXTRACT: note_on channel=0 note=55 velocity=80 time=0
EXTRACT: note_off channel=0 note=55 velocity=64 time=0.22058799999999998
EXTRACT: note_on channel=0 note=62 velocity=80 time=0
EXTRACT: note_off channel=0 note=62 velocity=64 time=0.22058799999999998
EXTRACT: note_on channel=0 note=67 velocity=80 time=0
EXTRACT: note_off channel=0 note=67 velocity=64 time=0.22058799999999998
EXTRACT: note_on channel=0 note=62 velocity=80 time=0.22058799999999998
EXTRACT: note_off channel=0 note=62 velocity=64 time=0.22058799999999998
EXTRACT: note_on channel=0 note=55 velocity=80 time=0
EXTRACT: note_off channel=0 note=55 velocity=64 time=0.44117599999999996
EXTRACT: note_on channel=0 note=50 velocity=80 time=0
EXTRACT: note_off channel=2 note=28 velocity=64 time=0
EXTRACT: note_on channel=2 note=38 velocity=80 time=0
EXTRACT: note_off channel=6 note=28 velocity=64 time=0
EXTRACT: note_on channel=6 note=38 velocity=80 time=0
EXTRACT: note_off channel=0 note=50 velocity=64 time=0.22058799999999998
EXTRACT: note_on channel=0 note=55 velocity=80 time=0
EXTRACT: note_off channel=0 note=55 velocity=64 time=0.22058799999999998
EXTRACT: note_on channel=0 note=62 velocity=80 time=0
EXTRACT: note_off channel=0 note=62 velocity=64 time=0.22058799999999998
EXTRACT: note_on channel=0 note=67 velocity=80 time=0
EXTRACT: note_off channel=0 note=67 velocity=64 time=0.22058799999999998
EXTRACT: note_on channel=0 note=62 velocity=80 time=0.22058799999999998
EXTRACT: note_off channel=0 note=62 velocity=64 time=0.22058799999999998
EXTRACT: note_on channel=0 note=69 velocity=80 time=0
EXTRACT: note_off channel=0 note=69 velocity=64 time=0.44117599999999996
EXTRACT: note_on channel=0 note=48 velocity=80 time=0
EXTRACT: note_off channel=2 note=38 velocity=64 time=0
EXTRACT: note_on channel=2 note=36 velocity=80 time=0
EXTRACT: note_off channel=6 note=38 velocity=64 time=0
EXTRACT: note_on channel=6 note=36 velocity=80 time=0
EXTRACT: note_off channel=0 note=48 velocity=64 time=0.22058799999999998
EXTRACT: note_on channel=0 note=55 velocity=80 time=0
EXTRACT: note_off channel=0 note=55 velocity=64 time=0.22058799999999998
EXTRACT: note_on channel=0 note=62 velocity=80 time=0
EXTRACT: note_off channel=0 note=62 velocity=64 time=0.22058799999999998
EXTRACT: note_on channel=0 note=67 velocity=80 time=0
EXTRACT: note_off channel=0 note=67 velocity=64 time=0.22058799999999998
EXTRACT: note_on channel=0 note=62 velocity=80 time=0.22058799999999998
EXTRACT: note_off channel=0 note=62 velocity=64 time=0.22058799999999998
EXTRACT: note_on channel=0 note=55 velocity=80 time=0
EXTRACT: note_off channel=0 note=55 velocity=64 time=0.44117599999999996
EXTRACT: note_on channel=0 note=50 velocity=80 time=0
EXTRACT: note_off channel=2 note=36 velocity=64 time=0
EXTRACT: note_on channel=2 note=38 velocity=80 time=0
EXTRACT: note_off channel=6 note=36 velocity=64 time=0
