EXTRACT: program_change channel=2 program=1 time=0
EXTRACT: control_change channel=2 control=7 value=127 time=0
EXTRACT: control_change channel=2 control=10 value=64 time=0
EXTRACT: program_change channel=1 program=33 time=0
EXTRACT: control_change channel=1 control=7 value=127 time=0
EXTRACT: control_change channel=1 control=10 value=64 time=0
EXTRACT: program_change channel=4 program=40 time=0
EXTRACT: control_change channel=4 control=7 value=127 time=0
EXTRACT: control_change channel=4 control=10 value=64 time=0
EXTRACT: program_change channel=8 program=81 time=0
EXTRACT: control_change channel=8 control=7 value=127 time=0
EXTRACT: control_change channel=8 control=10 value=64 time=0
EXTRACT: program_change channel=9 program=25 time=0
EXTRACT: control_change channel=9 control=7 value=127 time=0
EXTRACT: control_change channel=9 control=10 value=64 time=0
EXTRACT: program_change channel=9 program=25 time=0
EXTRACT: control_change channel=9 control=7 value=127 time=0
EXTRACT: control_change channel=9 control=10 value=64 time=0
EXTRACT: program_change channel=5 program=44 time=0
EXTRACT: control_change channel=5 control=7 value=127 time=0
EXTRACT: control_change channel=5 control=10 value=64 time=0
EXTRACT: program_change channel=6 program=1 time=0
EXTRACT: control_change channel=6 control=7 value=127 time=0
EXTRACT: control_change channel=6 control=10 value=64 time=0
EXTRACT: program_change channel=3 program=75 time=0
EXTRACT: control_change channel=3 control=7 value=127 time=0
EXTRACT: control_change channel=3 control=10 value=64 time=0
EXTRACT: control_change channel=2 control=93 value=127 time=0
EXTRACT: note_on channel=2 note=65 velocity=110 time=0
EXTRACT: note_on channel=2 note=69 velocity=110 time=0
EXTRACT: note_on channel=2 note=74 velocity=110 time=0
EXTRACT: note_on channel=1 note=50 velocity=110 time=0
EXTRACT: note_on channel=4 note=65 velocity=110 time=0
EXTRACT: note_on channel=2 note=65 velocity=0 time=0.722891
EXTRACT: note_on channel=2 note=69 velocity=0 time=0
EXTRACT: note_on channel=2 note=74 velocity=0 time=0
EXTRACT: note_on channel=2 note=65 velocity=110 time=0
EXTRACT: note_on channel=2 note=69 velocity=110 time=0
EXTRACT: note_on channel=2 note=74 velocity=110 time=0
EXTRACT: note_on channel=2 note=65 velocity=0 time=0.722891
EXTRACT: note_on channel=2 note=69 velocity=0 time=0
EXTRACT: note_on channel=2 note=74 velocity=0 time=0
EXTRACT: note_on channel=2 note=65 velocity=110 time=0
EXTRACT: note_on channel=2 note=69 velocity=110 time=0
EXTRACT: note_on channel=2 note=74 velocity=110 time=0
EXTRACT: note_on channel=1 note=50 velocity=0 time=0.54216825
EXTRACT: control_change channel=1 control=64 value=127 time=0
EXTRACT: note_on channel=1 note=62 velocity=75 time=0
EXTRACT: note_on channel=4 note=65 velocity=0 time=0.18072275
EXTRACT: note_on channel=2 note=65 velocity=0 time=0
EXTRACT: note_on channel=2 note=69 velocity=0 time=0
EXTRACT: note_on channel=2 note=74 velocity=0 time=0
EXTRACT: note_on channel=1 note=62 velocity=0 time=0
EXTRACT: control_change channel=2 control=64 value=127 time=0
EXTRACT: note_on channel=2 note=77 velocity=127 time=0
EXTRACT: note_on channel=4 note=64 velocity=110 time=0
EXTRACT: note_on channel=2 note=77 velocity=0 time=0.18072275
EXTRACT: note_on channel=2 note=76 velocity=110 time=0
EXTRACT: note_on channel=2 note=76 velocity=0 time=0.18072275
EXTRACT: note_on channel=2 note=74 velocity=110 time=0
EXTRACT: note_on channel=1 note=58 velocity=75 time=0.18072275
EXTRACT: note_on channel=2 note=74 velocity=0 time=0.18072275
EXTRACT: note_on channel=1 note=58 velocity=0 time=0
EXTRACT: note_on channel=4 note=64 velocity=0 time=0
EXTRACT: control_change channel=2 control=64 value=0 time=0
EXTRACT: note_on channel=2 note=65 velocity=110 time=0
EXTRACT: note_on channel=2 note=70 velocity=110 time=0
EXTRACT: note_on channel=2 note=74 velocity=110 time=0
EXTRACT: note_on channel=1 note=46 velocity=127 time=0
EXTRACT: note_on channel=4 note=62 velocity=110 time=0
EXTRACT: note_on channel=2 note=65 velocity=0 time=0.722891
EXTRACT: note_on channel=2 note=70 velocity=0 time=0
EXTRACT: note_on channel=2 note=74 velocity=0 time=0
EXTRACT: note_on channel=2 note=65 velocity=110 time=0
EXTRACT: note_on channel=2 note=70 velocity=110 time=0
EXTRACT: note_on channel=2 note=74 velocity=110 time=0
EXTRACT: note_on channel=2 note=65 velocity=0 time=0.722891
EXTRACT: note_on channel=2 note=70 velocity=0 time=0
EXTRACT: note_on channel=2 note=74 velocity=0 time=0
EXTRACT: note_on channel=2 note=65 velocity=110 time=0
EXTRACT: note_on channel=2 note=70 velocity=110 time=0
EXTRACT: note_on channel=2 note=74 velocity=110 time=0
EXTRACT: note_on channel=1 note=46 velocity=0 time=0.54216825
EXTRACT: note_on channel=1 note=58 velocity=75 time=0
EXTRACT: note_on channel=2 note=65 velocity=0 time=0.18072275
EXTRACT: note_on channel=2 note=70 velocity=0 time=0
EXTRACT: note_on channel=2 note=74 velocity=0 time=0
EXTRACT: note_on channel=1 note=58 velocity=0 time=0
EXTRACT: control_change channel=2 control=64 value=127 time=0
EXTRACT: note_on channel=2 note=74 velocity=110 time=0
EXTRACT: note_on channel=2 note=74 velocity=0 time=0.18072275
EXTRACT: note_on channel=2 note=72 velocity=110 time=0
EXTRACT: note_on channel=2 note=72 velocity=0 time=0.18072275
EXTRACT: note_on channel=2 note=70 velocity=110 time=0
EXTRACT: note_on channel=1 note=65 velocity=75 time=0.18072275
