EXTRACT: program_change channel=0 program=0 time=0
EXTRACT: control_change channel=0 control=7 value=101 time=0
EXTRACT: control_change channel=0 control=10 value=64 time=0
EXTRACT: note_on channel=0 note=61 velocity=64 time=0
EXTRACT: program_change channel=1 program=0 time=0
EXTRACT: control_change channel=1 control=7 value=101 time=0
EXTRACT: control_change channel=1 control=10 value=64 time=0
EXTRACT: note_on channel=1 note=68 velocity=64 time=0
EXTRACT: note_on channel=1 note=73 velocity=64 time=0
EXTRACT: note_on channel=1 note=76 velocity=64 time=0
EXTRACT: note_off channel=0 note=61 velocity=0 time=1.538454
EXTRACT: note_on channel=0 note=57 velocity=64 time=0
EXTRACT: note_off channel=1 note=68 velocity=0 time=0
EXTRACT: note_off channel=1 note=73 velocity=0 time=0
EXTRACT: note_off channel=1 note=76 velocity=0 time=0
EXTRACT: note_on channel=1 note=69 velocity=64 time=0
EXTRACT: note_on channel=1 note=73 velocity=64 time=0
EXTRACT: note_on channel=1 note=76 velocity=64 time=0
EXTRACT: note_off channel=0 note=57 velocity=0 time=1.538454
EXTRACT: note_on channel=0 note=64 velocity=64 time=0
EXTRACT: note_off channel=1 note=69 velocity=0 time=0
EXTRACT: note_off channel=1 note=73 velocity=0 time=0
EXTRACT: note_off channel=1 note=76 velocity=0 time=0
EXTRACT: note_on channel=1 note=68 velocity=64 time=0
EXTRACT: note_on channel=1 note=71 velocity=64 time=0
EXTRACT: note_on channel=1 note=76 velocity=64 time=0
EXTRACT: note_off channel=0 note=64 velocity=0 time=1.538454
EXTRACT: note_off channel=1 note=68 velocity=0 time=0
EXTRACT: note_off channel=1 note=71 velocity=0 time=0
EXTRACT: note_off channel=1 note=76 velocity=0 time=0
EXTRACT: note_on channel=1 note=75 velocity=64 time=0
EXTRACT: note_on channel=0 note=61 velocity=64 time=1.538454
EXTRACT: note_off channel=1 note=75 velocity=0 time=0
EXTRACT: note_on channel=1 note=68 velocity=64 time=0
EXTRACT: note_on channel=1 note=73 velocity=64 time=0
EXTRACT: note_on channel=1 note=76 velocity=64 time=0
EXTRACT: note_off channel=0 note=61 velocity=0 time=1.538454
EXTRACT: note_on channel=0 note=57 velocity=64 time=0
EXTRACT: note_off channel=1 note=68 velocity=0 time=0
EXTRACT: note_off channel=1 note=73 velocity=0 time=0
EXTRACT: note_off channel=1 note=76 velocity=0 time=0
EXTRACT: note_on channel=1 note=69 velocity=64 time=0
EXTRACT: note_on channel=1 note=73 velocity=64 time=0
EXTRACT: note_on channel=1 note=76 velocity=64 time=0
EXTRACT: note_off channel=0 note=57 velocity=0 time=1.538454
EXTRACT: note_on channel=0 note=64 velocity=64 time=0
EXTRACT: note_off channel=1 note=69 velocity=0 time=0
EXTRACT: note_off channel=1 note=73 velocity=0 time=0
EXTRACT: note_off channel=1 note=76 velocity=0 time=0
EXTRACT: note_on channel=1 note=68 velocity=64 time=0
EXTRACT: note_on channel=1 note=71 velocity=64 time=0
EXTRACT: note_on channel=1 note=76 velocity=64 time=0
EXTRACT: note_off channel=0 note=64 velocity=0 time=1.538454
EXTRACT: note_off channel=1 note=68 velocity=0 time=0
EXTRACT: note_off channel=1 note=71 velocity=0 time=0
EXTRACT: note_off channel=1 note=76 velocity=0 time=0
EXTRACT: note_on channel=1 note=75 velocity=64 time=0
EXTRACT: note_off channel=1 note=75 velocity=0 time=0.3846135
EXTRACT: note_on channel=1 note=68 velocity=64 time=0
EXTRACT: note_off channel=1 note=68 velocity=0 time=0.3846135
EXTRACT: note_on channel=1 note=71 velocity=64 time=0
EXTRACT: note_on channel=1 note=76 velocity=64 time=0
EXTRACT: note_on channel=0 note=61 velocity=64 time=0.769227
EXTRACT: note_off channel=1 note=71 velocity=0 time=0
EXTRACT: note_off channel=1 note=76 velocity=0 time=0
EXTRACT: note_on channel=1 note=68 velocity=64 time=0
EXTRACT: note_on channel=1 note=73 velocity=64 time=0
EXTRACT: note_on channel=1 note=76 velocity=64 time=0
EXTRACT: note_off channel=0 note=61 velocity=0 time=1.538454
EXTRACT: note_on channel=0 note=57 velocity=64 time=0
EXTRACT: note_off channel=1 note=68 velocity=0 time=0
EXTRACT: note_off channel=1 note=73 velocity=0 time=0
EXTRACT: note_off channel=1 note=76 velocity=0 time=0
EXTRACT: note_on channel=1 note=69 velocity=64 time=0
EXTRACT: note_on channel=1 note=73 velocity=64 time=0
EXTRACT: note_on channel=1 note=76 velocity=64 time=0
EXTRACT: note_off channel=0 note=57 velocity=0 time=1.538454
EXTRACT: note_on channel=0 note=64 velocity=64 time=0
EXTRACT: note_off channel=1 note=69 velocity=0 time=0
EXTRACT: note_off channel=1 note=73 velocity=0 time=0
EXTRACT: note_off channel=1 note=76 velocity=0 time=0
EXTRACT: note_on channel=1 note=68 velocity=64 time=0
EXTRACT: note_on channel=1 note=71 velocity=64 time=0
EXTRACT: note_on channel=1 note=76 velocity=64 time=0
EXTRACT: note_off channel=0 note=64 velocity=0 time=1.538454
EXTRACT: note_off channel=1 note=68 velocity=0 time=0
