MIRtoolbox1.6.2	_Chromagram_PeakMagMean	_Keystrength_PeakMagMean	_Envelope_PeakPosMean	_Envelope_PeakMagMean	_Differentiatedenvelope_PeakPosMean	_Differentiatedenvelope_PeakMagMean	
Amaj3.wav	1.000000	0.808836	0.056570	0.122507	0.000000	0.499140	
Amaj4.wav	1.000000	0.827661	0.057014	0.173087	0.000000	0.757126	
Amaj5.wav	0.999999	0.801574	0.039662	0.172031	0.000000	1.013252	
Amin3.wav	1.000000	0.880089	0.074112	0.135131	0.000000	0.514816	
Amin4.wav	1.000000	0.896990	0.052763	0.143582	0.000000	0.702470	
Amin5.wav	0.999999	0.859437	0.038420	0.164044	0.000000	0.966755	
Cmaj.wav	0.999999	0.828655	1.279240	0.092573	0.071002	0.226180	
czardas.wav	1.000000	0.694768	0.205348	0.256817	11.845930	0.666477	
guitar.wav	1.000000	0.676696	3.378290	0.234031	1.668995	0.514890	
laksin.wav	1.000000	0.879618	1.462346	0.166603	0.915451	0.247921	
movie1.wav	1.000000	0.663259	8.872167	0.114872	8.824171	4.122433	
movie2.wav	1.000000	0.803042	0.541345	0.118916	0.000000	3.021509	
pianoA4.wav	1.000000	0.616610	0.344623	0.311813	0.279989	0.760212	
pianoA4.wav+pianoF4.mir.wav	1.000000	0.605561	0.687676	0.389088	0.280001	0.679529	
pianoF4.wav	1.000000	0.624812	0.689409	0.418043	0.620231	0.731416	
ragtime.wav	1.000000	0.712230	1.296963	0.022836	2.192050	0.040944	
trumpet.wav	1.000000	0.725548	0.590655	0.272769	0.026062	0.218998	
valse_triste_happy.wav	1.000000	0.790783	7.951692	0.288055	4.591581	0.349395	
vivaldi.wav	1.000000	0.722553	0.517897	0.249610	0.463200	0.298705	
