MIRtoolbox1.6.2	_Chromagram_Mean_1	_Chromagram_Mean_2	_Chromagram_Mean_3	_Chromagram_Mean_4	_Chromagram_Mean_5	_Chromagram_Mean_6	_Chromagram_Mean_7	_Chromagram_Mean_8	_Chromagram_Mean_9	_Chromagram_Mean_10	_Chromagram_Mean_11	_Chromagram_Mean_12	_Keystrength_Mean_1	_Keystrength_Mean_2	_Keystrength_Mean_3	_Keystrength_Mean_4	_Keystrength_Mean_5	_Keystrength_Mean_6	_Keystrength_Mean_7	_Keystrength_Mean_8	_Keystrength_Mean_9	_Keystrength_Mean_10	_Keystrength_Mean_11	_Keystrength_Mean_12	_Keystrength_Mean_13	_Keystrength_Mean_14	_Keystrength_Mean_15	_Keystrength_Mean_16	_Keystrength_Mean_17	_Keystrength_Mean_18	_Keystrength_Mean_19	_Keystrength_Mean_20	_Keystrength_Mean_21	_Keystrength_Mean_22	_Keystrength_Mean_23	_Keystrength_Mean_24	
Amaj3.wav	0.000000	0.723161	0.000000	0.000000	0.538109	0.000000	0.000000	0.000000	0.002845	1.000000	0.000000	0.000000	0.094460	-0.079823	0.451388	-0.535948	0.238033	0.138073	-0.183992	0.005121	-0.373860	0.808836	-0.276380	-0.285908	-0.432378	0.408333	0.321418	-0.450761	0.097118	-0.286466	0.544557	-0.231454	-0.428917	0.599873	-0.111496	-0.029828	
Amaj4.wav	0.000000	0.735432	0.000000	0.000000	0.678898	0.000000	0.000000	0.000000	0.000000	1.000000	0.000000	0.000000	0.125674	-0.111435	0.443925	-0.545348	0.282234	0.134817	-0.214533	0.017267	-0.388337	0.827661	-0.291977	-0.279947	-0.437379	0.428349	0.309880	-0.474821	0.157589	-0.294973	0.524768	-0.238822	-0.422986	0.627603	-0.140156	-0.039052	
Amaj5.wav	0.000000	0.756556	0.000000	0.000000	0.508821	0.000000	0.000000	0.000000	0.000000	0.999999	0.000000	0.000000	0.079128	-0.058620	0.447613	-0.536505	0.227418	0.129793	-0.161114	-0.003543	-0.368056	0.801574	-0.277784	-0.279905	-0.435786	0.413465	0.314497	-0.438188	0.078949	-0.283706	0.554741	-0.234710	-0.427940	0.579322	-0.094630	-0.026014	
Amin3.wav	0.704019	0.000000	0.000000	0.000000	0.480465	0.000000	0.000000	0.008361	0.000000	1.000000	0.000000	0.000000	0.535682	-0.340608	0.201905	-0.222120	-0.016690	0.575494	-0.588275	0.102582	-0.130112	0.388787	0.005158	-0.511803	0.164092	-0.065842	0.431299	-0.521122	0.099946	0.070868	0.053746	-0.083992	-0.484349	0.880089	-0.263257	-0.281478	
Amin4.wav	0.797617	0.000000	0.000000	0.000000	0.631913	0.000000	0.000000	0.000700	0.000000	1.000000	0.000000	0.000000	0.569287	-0.352697	0.171556	-0.230052	0.025188	0.571482	-0.606032	0.102209	-0.127380	0.391786	-0.015314	-0.500032	0.170586	-0.036304	0.403815	-0.538991	0.153816	0.081277	0.027547	-0.105032	-0.472707	0.896990	-0.279725	-0.301273	
Amin5.wav	0.701572	0.000000	0.000000	0.000000	0.400956	0.000000	0.000000	0.000000	0.000000	0.999999	0.000000	0.000000	0.516969	-0.320676	0.199340	-0.210278	-0.047168	0.580136	-0.568961	0.092281	-0.115263	0.367006	0.019618	-0.513002	0.174414	-0.084665	0.436700	-0.500763	0.059296	0.082696	0.058481	-0.079983	-0.483875	0.859437	-0.244142	-0.277595	
Cmaj.wav	0.999999	0.000000	0.000000	0.000000	0.884638	0.000000	0.000000	0.761400	0.000000	0.000000	0.000000	0.002173	0.828655	-0.321886	-0.251019	0.107045	-0.070108	0.420292	-0.561583	0.304175	0.097833	-0.170939	-0.001630	-0.380835	0.589331	-0.116485	-0.038805	-0.458246	0.478681	0.268463	-0.463030	0.165812	-0.292914	0.538689	-0.265145	-0.406351	
czardas.wav	0.002612	0.055434	0.412381	0.494964	0.480928	1.000000	0.292209	0.576543	0.311314	0.456702	0.916512	0.300291	-0.212123	0.009924	-0.228964	0.520415	-0.325941	0.251156	-0.014521	-0.236678	0.062863	-0.321587	0.694768	-0.199313	-0.004945	-0.385458	0.236649	0.288099	-0.278200	0.163352	-0.362935	0.465567	-0.057350	-0.248595	0.462175	-0.278359	
guitar.wav	0.938264	0.377452	0.397896	0.297757	0.385683	0.349441	0.013029	1.000000	0.430318	0.053038	0.692323	0.721991	0.486993	-0.097910	-0.508834	0.461059	-0.259927	0.201091	-0.271623	0.237620	0.312759	-0.620298	0.243445	-0.184375	0.676696	-0.242242	-0.207383	-0.122950	0.229217	0.335109	-0.774128	0.369941	0.018500	-0.064436	0.057638	-0.275965	
laksin.wav	0.230120	0.314434	0.257992	0.124962	1.000000	0.031704	0.847086	0.885317	0.007244	0.055097	0.000000	0.739864	0.458801	-0.602465	0.347221	-0.374594	0.370734	-0.168950	-0.178378	0.638880	-0.585650	0.231668	-0.405165	0.267899	-0.079659	-0.030228	-0.178702	-0.305764	0.879618	-0.511629	0.092670	0.069209	-0.116254	0.288168	-0.596217	0.488787	
movie1.wav	0.006890	0.001646	0.000465	0.002715	0.643726	0.238847	0.001524	0.000000	0.000000	0.111138	0.156224	1.000000	0.181241	-0.495297	0.107288	-0.331487	0.614051	-0.051282	-0.267389	0.257854	-0.458568	0.320366	-0.202482	0.325706	-0.303578	0.102874	-0.005267	-0.276755	0.663259	-0.306858	-0.130413	-0.206309	0.153204	0.308287	-0.382186	0.383741	
