"tempo(bpm)","Intensidade_media_da_musica","espectograma_medio","espectograma_maximo","energia_medio_rmse","brilhantismo_medio_spectral_centroid","Spectral_Rolloff_Point_Overall_Standard_Deviation","Spectral_Flux_Overall_Standard_Deviation","Spectral_Variability_Overall_Standard_Deviation","Spectral_Rolloff_Point_Overall_Average","Spectral_Flux_Overall_Average","Spectral_Variability_Overall_Average","media_do_zero_cross_rate","media_rhythm_strength","spectral_flatness","mfcc","spectral_contrast","bandwidth","percusiviness","magnitude","Cyclic_Tempograms_Based_on_a_short-time_discrete_Fourier_transformation","Strong Rythm","onset","onset_interval","average_onset_frequency","rolloff","power_spectrum","low_energy","harmonic","Cyclic_Tempograms_based_on_the_autocorrelation_function","octave-based_spectral_contrast","chord_variation","harmonic_flux","average_tempo","spectral_kurtosis","loudness_amplitude","sum_beats","strongest_beat","melbands_skewness","melbands_kurtosis","averaga_beat_spectrum","variation_beat_lenght","slope","entropy_spectrum","inharmonicity","pitch_histogram_C","pitch_histogram_C#","pitch_histogram_D","pitch_histogram_D#","pitch_histogram_E","pitch_histogram_F","pitch_histogram_F#","pitch_histogram_G","pitch_histogram_G#","pitch_histogram_A","pitch_histogram_A#","pitch_histogram_B","spectral_crest_factor","loudness_std","chromagram_C","chromagram_C#","chromagram_D","chromagram_D#","chromagram_E","chromagram_F","chromagram_F#","chromagram_G","chromagram_G#","chromagram_A","chromagram_A#","chromagram_B","regularity_rhythm","spectral_spread","spectral_dissonance","salient_pitch","spectral_valleys1","spectral_valleys2","spectral_valleys3","spectral_valleys4","spectral_valleys5","spectral_valleys6","spectral_energy","beats_loudness_band_ratio1","beats_loudness_band_ratio2","beats_loudness_band_ratio3","beats_loudness_band_ratio4","beats_loudness_band_ratio5","beats_loudness_band_ratio6","chord_stregth","hpcp1","hpcp2","hpcp3","hpcp4","hpcp5","hpcp6","hpcp7","hpcp8","hpcp9","hpcp10","hpcp11","hpcp12","hpcp13","hpcp14","hpcp15","hpcp16","hpcp17","hpcp18","hpcp19","hpcp20","hpcp21","hpcp22","hpcp23","hpcp24","hpcp25","hpcp26","hpcp27","hpcp28","hpcp29","hpcp30","hpcp31","hpcp32","hpcp33","hpcp34","hpcp35","hpcp36","dynamics","spectral_flux","loudness_flatness","roughness","spectral_brighness","sharpness","attack_time","attack","chromagram_centroid","loudness_centroid","loudness_flux","smoothness","Status"
117.45,-3.9006719501,38.64018,2527.6953,0.075026296,3667.7995271426,3.32,5.29,8.98,4.91,7.61,1.64,0.1373377939,1.2758328361,0.023719251,-420.07562654954904,19.9885735851,1537.672542,-1.7515422,0.49748796,1.0174456,1.9370,105,0.5000297130346392,1.2758328360919025,2683.3171076818885,0.49748796,0.5191859,2.538655e-06,0.29782045,25.074036108965107,24,0.18574323,141.38931795373455,25.486458,20913,59,35.29812069583459,-1.498638474469687,5.63313231990942,5.559448145329952,-1.7736177857703363e-15,0.3121914486280007,4.060292,0.00010711197548159552,9.32532674,10.826563052,4.433062522,21.741434122,19.692688096,33.009537266,43.765453903,14.129282939,12.239491346,0.088308018,7.894736842,0,0,3.9006719500709677,0.5202949667,0.6877346651,0.4834740666,0.3239589497,0.4540155509,0.7121621192,0.6498626881,0.5048091137,0.4835327476,0.4689636624,0.5332366541,0.4345005808,2.001695110050114,5913467.5,0.4612838923931122,0.5315889716148376,-9.518635,-9.01791,-9.394423,-9.337504,-9.010446,-11.004223,-11.004086,0.01206557359546423,0.15931857,0.0660001,0.06775419,0.34989473,0.03960475,0.3302819,0.6412438750267029,0.03989673,0.0292121,0.02973473,0.1625235,0.26658773,0.14264473,0.04579034,0.04689442,0.03901897,0.06614277,0.09184134,0.09513143,0.43272987,0.5551212,0.18957838,0.03325243,0.03713496,0.04201671,0.0664016,0.07330889,0.04987282,0.03841526,0.03222219,0.03234265,0.277893,0.42797503,0.23151805,0.14035943,0.14272533,0.08643201,0.04822935,0.0546661,0.0523453,0.14099248,0.20843786,0.11452767,0.4490612490104778,0.05576044321060181,0.16859424114227295,6.959043019693924,0.26266636398965726,1.8188507796761728,0.052440571734311436,0.014385088346898556,-45.762527,54.02136,7.64,0
172.27,0,18.124163,16432799,0.13216607,2512.3711464601,1.46,2.16,1.59,2.01,4.48,3.12,0.0699489345,1.5765154937,0.003351096,-417.0497297675096,19.3963197815,1628.556415,2.2217542,0.66081375,1.7956852,2.7380,114,0.3477398027484086,1.576515493665847,6101.088107554905,0.66081375,0.7299204,1.391675e-05,0.35464,26.13908465658638,22,0.14619471,147.82217936257817,15.5764,32768,84,27.41623185880266,-0.14202372372484062,8.388835291504064,10.858013636763872,0.004043747204096832,0.3779805529580975,3.836678,1.3262191377500019,0,14.184397163,0,20.094562648,26.418439716,32.505910165,28.605200946,29.669030733,12.293144208,0,3.546099291,20.094562648,20.0945626478,0.0,0.45148479,0.4054904892,0.4346460613,0.4534669029,0.4040279137,0.3675260071,0.4225386756,0.5073644038,0.5515704315,0.4873744037,0.6110495404,0.6294550411,2.0765287694392485,4867068.0,0.4312973618507385,0.5584878921508789,-9.062671,-8.644113,-9.034058,-9.375227,-9.412099,-11.611425,-11.611489,0.018244219943881035,0.13072209,0.3278502,0.23470542,0.20823123,0.0864511,0.07599773,0.5974404811859131,0.06820553,0.06811523,0.12691647,0.21726145,0.24697277,0.28488642,0.2918276,0.15971853,0.06955386,0.06700966,0.06878897,0.10656489,0.15436907,0.14069289,0.09845003,0.0882722,0.10111438,0.1604227,0.19479863,0.13716404,0.119326,0.12097161,0.08348831,0.07442772,0.0775416,0.09151974,0.12580574,0.13232172,0.12163093,0.14770561,0.14241949,0.12276093,0.18406194,0.22048563,0.17120035,0.10617047,0.595899863893889,0.06310994178056717,0.18018580973148346,2.4584812568926315,2.9717228687630275,1.5543376651550915,0.0566240999323706,0.059148240834474564,-22.389505,48.100548,6.62,0
161.5,-5.8583108316,13.083311,1357.9225,0.049162265,1878.8831018087,1.02,3.5,7.52,1.5,5.26,1.07,0.0442537007,1.1588519044,0.023491347,-501.5604492038953,16.593020179,1606.608885,-2.5031017,0.27272967,-1.3631115,1.7410,67,0.3774016628873772,1.1588519044411882,6372.403133616728,0.27272967,0.36371243,-3.7774023e-06,0.16238336,21.94136380986195,22,0.059537,154.93814624930988,63.424377,16693,76,21.876400034200987,-1.4430101303949718,8.575851601690928,10.127486377954483,0.0043133303510353,0.43483513453569494,3.1242044,0.00010348593382591975,0.575221239,9.889380531,18.694690265,8.274336283,35.64159292,3.650442478,44.889380531,31.548672566,15.353982301,18.584070796,0.530973451,7.743362832,7.7433628319,5.858310831560097,0.4445519282,0.5580665541,0.6618106631,0.5954411673,0.5238134521,0.5229914246,0.565532482,0.5383820385,0.5487999631,0.564554774,0.4672743085,0.3931902884,1.1612655614386491,5529246.5,0.4632458984851837,0.5353333950042725,-7.8852935,-8.089228,-8.818809,-9.177899,-9.33052,-11.663419,-11.663262,0.0263220127671957,0.5290314,0.16940169,0.13545951,0.10497134,0.05819659,0.05874375,0.4353395104408264,0.21260852,0.20654026,0.11477759,0.08705356,0.06454481,0.06297707,0.08218069,0.08475956,0.06879787,0.07845327,0.08406688,0.0886312,0.13130347,0.1511604,0.12861353,0.20963727,0.25806472,0.15420155,0.09171613,0.08151764,0.08210815,0.14181657,0.16017498,0.12362429,0.10899492,0.09978173,0.10757341,0.16156985,0.17338657,0.12578326,0.11908212,0.11608455,0.11538474,0.11958076,0.11337495,0.12358118,0.35174839871129415,0.06917291134595871,0.1719656139612198,4.894803566864659,1.5354624884761996,1.5433193990977374,0.05718347040308639,0.026255598291754723,-15.460443,49.058937,4.55,0
117.45,-4.5852603604,15.825933,6461.8633,0.06463704,1554.1546264024,1.57,7.42,5.4,1.33,1.06,1.51,0.041319478,1.0351659043,0.037327774,-515.593543836352,19.4605492195,1066.56746,-4.52787,0.32597226,-1.9904944,1.9930,87,0.5095950761256883,1.0351659042808647,1551.4239520849458,0.32597226,0.4803497,9.830055e-07,0.23697676,25.820425711364276,23,0.10616866,140.37342018698064,40.61826,19328,57,11.948970267051124,0.2422404290787711,6.456719233389596,7.149516538716853,0.03558497539605393,0.28164657004167354,3.1361241,0,3.817619784,6.646058733,3.307573416,17.078825348,40.200927357,13.848531685,20.262751159,15.826893354,7.187017002,15.378670788,0.726429675,16.785162287,16.7851622875,4.585260360373602,0.5055696903,0.427733339,0.3760609964,0.4563435652,0.5091613181,0.3851794933,0.367635213,0.3415623797,0.3957184286,0.3698686332,0.4756004421,0.6733031403,0.8160992981701813,4502120.0,0.452863484621048,0.5899287462234497,-7.938497,-7.386983,-8.36589,-8.80888,-9.697377,-13.137329,-13.136895,0.014999523758888245,0.09919438,0.30750212,0.25705633,0.23694323,0.09030796,0.01636336,0.4990319311618805,0.10045671,0.04910585,0.02682985,0.04956437,0.06883521,0.30906516,0.5319546,0.2818019,0.03833614,0.02557135,0.02819292,0.14127731,0.24826989,0.15201834,0.05675948,0.04248317,0.02709837,0.11004483,0.1765119,0.09578496,0.15522626,0.28803626,0.16446055,0.03172423,0.02682587,0.02927533,0.15187497,0.23831451,0.12534805,0.04433411,0.03282394,0.02463981,0.09013099,0.1562237,0.10509501,0.08576515,0.34548859235295676,0.045953311026096344,0.19301992654800415,2.9910780899551446,1.728286779057235,1.447563054237788,0.06218677509317917,0.014361820183694363,-43.403122,52.499645,6.01,0
83.35,-2.8015799386,1.8247246,5.67E-6,0.12014163,2240.7892058185,1.01,1.08,7.8,2.3,2.47,2.61,0.0566746384,1.3098550678,0.022632439,-488.63554604511995,19.1134657461,1123.021192,-7.2682415,0.7047699,-3.806681,1.2610,78,0.36107029478458047,1.309855067837567,1893.205218713719,0.7047699,0.74036175,-5.218768e-07,0.3880267,25.036011722273056,25,0.19511715,155.30052762783023,40.61826,23734,81,23.300832084518266,0.6340254199463989,6.000314193187122,0.00014780613039988566,0.004178538777565448,0.4365908155673261,3.691755,0.00010961369742182311,0.063734863,6.851497769,3.314212874,14.149139579,50.414276609,14.276609305,39.356277884,13.73486297,11.121733588,9.942638623,4.015296367,14.276609305,14.2766093053,2.80157993861319,0.3897767151,0.4410876068,0.6616493609,0.6990572658,0.4822637667,0.4546722489,0.5245188017,0.4593448831,0.369457027,0.4261280991,0.4705192514,0.3874701898,1.3013329191230854,4426648.5,0.463070273399353,0.5716307759284973,-7.772311,-7.5188637,-8.237974,-8.562118,-8.364995,-11.68297,-11.682349,0.01486718375235796,0.33038875,0.13946299,0.19429275,0.1491956,0.12930162,0.10671396,0.5637891888618469,0.08991411,0.11826927,0.15754092,0.22496592,0.18182908,0.08749236,0.06708641,0.07671546,0.0991303,0.09970109,0.089768,0.10904593,0.11887152,0.09704617,0.09620707,0.15448266,0.21311842,0.31151402,0.32902518,0.17988628,0.09631034,0.09603521,0.08769895,0.09551572,0.11250135,0.12064189,0.17332858,0.23372519,0.20356958,0.1534475,0.13667311,0.10532122,0.08188636,0.06629618,0.05332158,0.05767868,0.7292500316076845,0.05756150931119919,0.16712023317813873,7.53169998739866,0.09228082178920567,1.5661196721887933,0.06817140531426248,0.08522171527147293,-38.967545,56.188232,7.64,0
123.05,-2.7800146072,11.945167,4515.52,0.036925726,2259.0622628089,2.51,1.52,4.33,1.77,2.33,8.46,0.0651360385,1.4121974397,0.018371535,-490.4078510591159,17.5205716499,1498.652038,0.0004012089,0.23273632,0.0002790439,1.9310,111,0.49037395749260154,1.4121974396725956,4982.978201945869,0.23273632,0.29520726,0.00015355239,0.120505914,22.707946093062354,28,0.067046694,141.03618421052633,199.52037,23793,60,16.89590913314611,-1.5953638144778015,8.044387428877041,11.550904606468976,1.7323708605198633e-15,0.29924987260671493,3.3882372,0.0002176370903072838,10.907959231,10.845716953,8.3715864,30.078580876,8.464949817,22.002645297,42.138022252,12.697424726,7.220104256,19.046137089,0.093363417,16.120750019,16.1207500195,2.7800146072480283,0.4780110843,0.5254265044,0.4807787067,0.4423811559,0.4970018756,0.471624635,0.5072419663,0.505556173,0.6332153448,0.8100274217,0.6327346037,0.4913217249,1.8200992160076426,5021544.5,0.4650672674179077,0.5871227383613586,-7.851731,-7.3651867,-7.9099174,-8.353634,-8.796096,-11.220121,-11.219943,0.019790077582001686,0.41715777,0.11498461,0.1437244,0.21549718,0.09858037,0.06777588,0.5129205584526062,0.571824,0.32582888,0.07102375,0.05260714,0.04594105,0.11494323,0.17858973,0.12184767,0.07061698,0.06074782,0.05296827,0.17166862,0.25853598,0.13683288,0.07543905,0.14037852,0.11508375,0.06132487,0.06319656,0.05485168,0.14871468,0.29767334,0.20092575,0.05985199,0.06297285,0.06088945,0.11698098,0.18539554,0.1508815,0.11737071,0.10360036,0.07248069,0.10076066,0.13973296,0.13856542,0.3521953,0.2977083031663272,0.06585467606782913,0.1316422075033188,6.159261431313944,1.792552456503641,1.5593203278696377,0.060246368817797526,0.029492586851119995,-46.773075,57.493923,8.45,0
103.36,-1.2233852433,100.16033,6928184,0.1390409,2427.1604791914,3.66,4.21,5.86,8.4,2.1,3.19,0.0562555177,1.4700413983,0.0051812334,-351.98580994097466,18.2515653856,1658.034015,-7.0691836,0.75262594,-2.285145,1.0100,146,0.5795511129621918,1.4700413983156388,3621.9030988474747,0.75262594,0.8346769,-1.156216e-05,0.40151113,24.667478699237513,26,0.12627654,139.7769325657895,35.075752,28463,50,13.045615095185632,0.8652551091923482,5.202753466248763,2.7750561460852623,0.0,0.3687948171204038,2.8355818,0.00017725943150784742,13.646090535,0.403292181,10.403292181,2.37037037,21.316872428,48.074074074,35.942386831,19.802469136,9.382716049,7.390946502,11.818930041,7.308641975,7.3086419753,1.223385243272376,0.4710044321,0.3987386099,0.4211275019,0.4703775234,0.5689399855,0.6567606527,0.4690530612,0.4124885687,0.4646684787,0.539900125,0.6190848848,0.5282901368,1.5781321763154252,5238301.0,0.45956116914749146,0.5311587452888489,-6.583466,-6.939431,-7.875943,-8.227626,-7.889292,-10.304113,-10.303973,0.029425926506519318,0.79713786,0.10799543,0.04687195,0.03090641,0.02392618,0.0533152,0.5632351636886597,0.06645295,0.05828573,0.11224069,0.32224637,0.31966823,0.10679497,0.04499729,0.04098575,0.07794526,0.17376189,0.16564588,0.07098054,0.04224981,0.02759292,0.02659364,0.05837929,0.06977788,0.08450975,0.16468072,0.16842772,0.0862596,0.0595899,0.07889064,0.18469168,0.332961,0.2751634,0.13072987,0.07921121,0.0526064,0.05071923,0.06574462,0.06793157,0.06679101,0.10043912,0.12038748,0.09491184,0.8819765552153015,0.08980216085910797,0.14879095554351807,5.189135561039483,0.39006932465723726,1.5677843090702672,0.05725468269499583,0.03518896922469139,-13.788179,63.253445,4.88,0
136,-2.7891459233,1.9165627,5.67E-6,0.055413373,3612.7845698458,1.85,3.78,4.46,4.62,5.53,1.24,0.1106312282,1.4219386767,0.0058351406,-474.5167412803003,16.8249595355,1678.093058,0.0008174778,0.39403483,0.0008586418,2.0590,69,0.43132824847110557,1.421938676683843,5962.063948214976,0.39403483,0.39855722,0.00090566085,0.18522395,24.39746686024772,28,0.11620875,157.83790986237835,-1.52388,23768,67,33.32844255525324,-1.891903067308638,7.88548032513669,0.00012691508436546428,-0.009974576436772185,0.6003791264148228,3.8979063,7.464997626676414e-05,0.837577816,0.339558574,9.235993209,26.598754952,41.992076967,17.317487267,33.073005093,9.417091115,2.308998302,2.739105829,1.222410866,10.322580645,10.3225806452,2.789145923282206,0.4287413901,0.4713077363,0.5325948899,0.5817746427,0.5869873272,0.53819178,0.550887108,0.6414094519,0.5605486244,0.4686688231,0.4725348768,0.4312284119,2.692409931433878,6194042.0,0.4726044535636902,0.5015067458152771,-8.521442,-8.794657,-9.105532,-9.056434,-8.586398,-10.476283,-10.476416,0.011209896765649319,0.45779988,0.03763189,0.06010202,0.10582899,0.086899,0.27749354,0.5148585438728333,0.14060155,0.06664513,0.09551825,0.10953411,0.10442156,0.1412948,0.10919248,0.05151896,0.04639934,0.0512444,0.05925063,0.0802368,0.10554537,0.09017171,0.14333154,0.1627036,0.10453128,0.13377237,0.15402357,0.13260296,0.16837166,0.18244627,0.15984105,0.14158767,0.09460417,0.08860693,0.12081739,0.11944623,0.11697593,0.22039062,0.24639606,0.16090102,0.14043933,0.12141332,0.10174786,0.15749148,0.8646772410061094,0.04829971864819527,0.1486472338438034,7.458951681458362,1.2238996852938726,1.9280571121697305,0.07033290610930373,0.023329555988311768,-39.414253,56.128075,9.91,0
112.35,-0.3427876234,22.024488,18107547,0.08219681,2004.9270229795,6.49,2.1,4.27,1.24,8.33,1.95,0.060598273,1.390321162,0.0038328473,-438.1493996715176,18.3408139241,1433.883736,-0.0001722762,0.3687499,-2.4600267,1.9040,116,0.5278074306645736,1.3903211619823634,3186.930729065886,0.3687499,0.57255083,0.00012355989,0.23443401,24.060288408457712,21,0.075933024,140.41843812065542,236.2862,31500,53,16.557232754452933,-1.1984161326309197,6.956827231236405,8.11121515929699,-0.012131241612292353,0.39206890270261935,3.3085463,0.00018755098257887173,6.630699617,8.371040724,21.684650191,15.297598329,26.174730247,23.564218587,42.203271841,18.378002088,0.382875044,14.253393665,0.504698921,6.247824574,6.2478245736,0.3427876234023483,0.4125554582,0.6388461743,0.829359116,0.590623247,0.3737553097,0.3165194648,0.3131319803,0.3375972809,0.3832696212,0.4176293638,0.3243919586,0.2539468639,1.8141430652236186,3937165.25,0.42978933453559875,0.5216206312179565,-7.9315395,-8.129647,-8.71791,-8.6482525,-8.638403,-11.354713,-11.354795,0.021919624879956245,0.44159025,0.1668327,0.09091656,0.15738694,0.13116588,0.03949904,0.49397557973861694,0.21288805,0.08424923,0.0429217,0.04919029,0.04068841,0.04471753,0.04646064,0.04935385,0.05145715,0.04621302,0.06135598,0.08954254,0.08114952,0.07442336,0.43368375,0.62471694,0.28762093,0.08113725,0.05653986,0.05920475,0.08427937,0.08925483,0.06655908,0.05525479,0.03925003,0.0371994,0.08329607,0.08464161,0.04787614,0.08901028,0.13472563,0.12046379,0.07860539,0.0548504,0.08921047,0.20514399,0.10710379734459351,0.05653563514351845,0.21142160892486572,2.3220643780183523,1.8963736090817809,1.4401004244292186,0.07466416451638135,0.011908641085028648,-13.942145,55.851067,6.57,0
117.45,0,31.904587,9408538,0.08203273,2814.5424381902,1.64,1.4,1.38,2.6,1.6,2.13,0.1011637874,1.5510175387,0.01730345,-424.2665972321544,17.9230960434,1631.474282,0.0001549012,0.5160688,7.262853,1.3700,101,0.5211589821113631,1.551017538705288,1806.464076558872,0.5160688,0.50609016,-9.184709e-06,0.19845659,24.480830083243436,26,0.1593012,144.46346211354438,42.439705,32768,55,43.996256266496374,-1.088069729127356,7.275719611308732,6.832816976588219,0.012131241612290497,0.4544279587954806,3.6921523,0.00013078533436579356,8.351243476,0.245624808,20.878108689,11.605772183,15.842800123,23.887012588,22.904513356,14.184832668,3.500153516,4.605465152,0.61406202,7.123119435,7.1231194351,0.0,0.7113466142,0.6412239173,0.5978447958,0.5360069323,0.5297054629,0.5900216513,0.6053027844,0.6023557377,0.5546397808,0.5223460842,0.5277434688,0.6121279379,2.336654701410943,4915699.5,0.47045931220054626,0.6181443929672241,-9.08622,-8.475997,-8.67159,-8.654346,-8.733977,-11.193741,-11.194168,0.024158261716365814,0.37865034,0.07820742,0.16110054,0.2147077,0.11189829,0.08917783,0.47849902510643005,0.21065761,0.188816,0.13708276,0.11631519,0.1178039,0.12357201,0.14721456,0.18333794,0.19524774,0.23590165,0.282826,0.20652136,0.13501298,0.15101625,0.16912316,0.18484883,0.21151431,0.21525206,0.18782534,0.15408841,0.13370039,0.12535384,0.12923174,0.14931135,0.1923639,0.23640126,0.19569686,0.14350013,0.18092358,0.2039538,0.2019406,0.22932437,0.20039806,0.15140575,0.15738626,0.1870295,1.0,0.07725609838962555,0.14775481820106506,2.0600195340673553,2.374737134483067,1.6593275243077792,0.05425652769358554,0.024341853335499763,-4.6527762,49.421776,1.06,0
